

Ente;Candidato;Liste/Gruppi;Voti lista;;
FORIO;;NOI CON L'ITALIA - UDC;110;;
FORIO;PALMA GIOVANNA;PARTITO DEMOCRATICO;685;;
FORIO;;+EUROPA;85;;
FORIO;;ITALIA EUROPA INSIEME;39;;
FORIO;;CIVICA POPOLARE LORENZIN;19;;
FORIO;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;171;;
FORIO;MORRA CARLO;LIBERI E UGUALI;111;;
FORIO;REGA ANTONIO;POTERE AL POPOLO!;52;;
FORIO;LUBRANO BENITO;CASAPOUND ITALIA;47;;
FORIO;AMATO IRENE;ITALIA AGLI ITALIANI;27;;
FORIO;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
FORIO;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
GIUGLIANO IN CAMPANIA;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;27952;;
GIUGLIANO IN CAMPANIA;BENEDUCE FLORA;FORZA ITALIA;10377;;
GIUGLIANO IN CAMPANIA;;LEGA;1859;;
GIUGLIANO IN CAMPANIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1169;;
GIUGLIANO IN CAMPANIA;;NOI CON L'ITALIA - UDC;525;;
GIUGLIANO IN CAMPANIA;PALMA GIOVANNA;PARTITO DEMOCRATICO;4762;;
GIUGLIANO IN CAMPANIA;;ITALIA EUROPA INSIEME;334;;
GIUGLIANO IN CAMPANIA;;+EUROPA;293;;
GIUGLIANO IN CAMPANIA;;CIVICA POPOLARE LORENZIN;101;;
GIUGLIANO IN CAMPANIA;MORRA CARLO;LIBERI E UGUALI;1002;;
GIUGLIANO IN CAMPANIA;REGA ANTONIO;POTERE AL POPOLO!;621;;
GIUGLIANO IN CAMPANIA;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;247;;
GIUGLIANO IN CAMPANIA;LUBRANO BENITO;CASAPOUND ITALIA;205;;
GIUGLIANO IN CAMPANIA;AMATO IRENE;ITALIA AGLI ITALIANI;118;;
GIUGLIANO IN CAMPANIA;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;45;;
GIUGLIANO IN CAMPANIA;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;22;;
ISCHIA;BENEDUCE FLORA;FORZA ITALIA;2591;;
ISCHIA;;LEGA;502;;
ISCHIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;334;;
ISCHIA;;NOI CON L'ITALIA - UDC;154;;
ISCHIA;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;3281;;
ISCHIA;PALMA GIOVANNA;PARTITO DEMOCRATICO;1108;;
ISCHIA;;+EUROPA;135;;
ISCHIA;;CIVICA POPOLARE LORENZIN;53;;
ISCHIA;;ITALIA EUROPA INSIEME;18;;
ISCHIA;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;273;;
ISCHIA;MORRA CARLO;LIBERI E UGUALI;174;;
ISCHIA;REGA ANTONIO;POTERE AL POPOLO!;98;;
ISCHIA;LUBRANO BENITO;CASAPOUND ITALIA;87;;
ISCHIA;AMATO IRENE;ITALIA AGLI ITALIANI;19;;
ISCHIA;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;8;;
ISCHIA;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;5;;
LACCO AMENO;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;908;;
LACCO AMENO;BENEDUCE FLORA;FORZA ITALIA;783;;
LACCO AMENO;;LEGA;83;;
LACCO AMENO;;FRATELLI D'ITALIA CON GIORGIA MELONI;30;;
LACCO AMENO;;NOI CON L'ITALIA - UDC;4;;
LACCO AMENO;PALMA GIOVANNA;PARTITO DEMOCRATICO;138;;
LACCO AMENO;;+EUROPA;19;;
LACCO AMENO;;ITALIA EUROPA INSIEME;7;;
LACCO AMENO;;CIVICA POPOLARE LORENZIN;7;;
LACCO AMENO;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;46;;
LACCO AMENO;MORRA CARLO;LIBERI E UGUALI;44;;
LACCO AMENO;LUBRANO BENITO;CASAPOUND ITALIA;21;;
LACCO AMENO;REGA ANTONIO;POTERE AL POPOLO!;10;;
LACCO AMENO;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;9;;
LACCO AMENO;AMATO IRENE;ITALIA AGLI ITALIANI;8;;
LACCO AMENO;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
MARANO DI NAPOLI;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;14137;;
MARANO DI NAPOLI;BENEDUCE FLORA;FORZA ITALIA;5349;;
MARANO DI NAPOLI;;LEGA;1093;;
MARANO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;451;;
MARANO DI NAPOLI;;NOI CON L'ITALIA - UDC;159;;
MARANO DI NAPOLI;PALMA GIOVANNA;PARTITO DEMOCRATICO;2283;;
MARANO DI NAPOLI;;+EUROPA;162;;
MARANO DI NAPOLI;;CIVICA POPOLARE LORENZIN;72;;
MARANO DI NAPOLI;;ITALIA EUROPA INSIEME;43;;
MARANO DI NAPOLI;MORRA CARLO;LIBERI E UGUALI;582;;
MARANO DI NAPOLI;REGA ANTONIO;POTERE AL POPOLO!;427;;
MARANO DI NAPOLI;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;179;;
MARANO DI NAPOLI;LUBRANO BENITO;CASAPOUND ITALIA;127;;
MARANO DI NAPOLI;AMATO IRENE;ITALIA AGLI ITALIANI;70;;
MARANO DI NAPOLI;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;42;;
MARANO DI NAPOLI;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;14;;
MELITO DI NAPOLI;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;9333;;
MELITO DI NAPOLI;BENEDUCE FLORA;FORZA ITALIA;2776;;
MELITO DI NAPOLI;;LEGA;414;;
MELITO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;344;;
MELITO DI NAPOLI;;NOI CON L'ITALIA - UDC;141;;
MELITO DI NAPOLI;PALMA GIOVANNA;PARTITO DEMOCRATICO;1101;;
MELITO DI NAPOLI;;+EUROPA;73;;
MELITO DI NAPOLI;;ITALIA EUROPA INSIEME;32;;
MELITO DI NAPOLI;;CIVICA POPOLARE LORENZIN;30;;
MELITO DI NAPOLI;MORRA CARLO;LIBERI E UGUALI;360;;
MELITO DI NAPOLI;REGA ANTONIO;POTERE AL POPOLO!;131;;
MELITO DI NAPOLI;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;71;;
MELITO DI NAPOLI;LUBRANO BENITO;CASAPOUND ITALIA;58;;
MELITO DI NAPOLI;AMATO IRENE;ITALIA AGLI ITALIANI;27;;
MELITO DI NAPOLI;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;17;;
MELITO DI NAPOLI;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
MONTE DI PROCIDA;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;2501;;
MONTE DI PROCIDA;BENEDUCE FLORA;FORZA ITALIA;1281;;
MONTE DI PROCIDA;;LEGA;226;;
MONTE DI PROCIDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;179;;
MONTE DI PROCIDA;;NOI CON L'ITALIA - UDC;37;;
MONTE DI PROCIDA;PALMA GIOVANNA;PARTITO DEMOCRATICO;726;;
MONTE DI PROCIDA;;+EUROPA;60;;
MONTE DI PROCIDA;;ITALIA EUROPA INSIEME;12;;
MONTE DI PROCIDA;;CIVICA POPOLARE LORENZIN;6;;
MONTE DI PROCIDA;MORRA CARLO;LIBERI E UGUALI;147;;
MONTE DI PROCIDA;REGA ANTONIO;POTERE AL POPOLO!;103;;
MONTE DI PROCIDA;LUBRANO BENITO;CASAPOUND ITALIA;30;;
MONTE DI PROCIDA;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;23;;
MONTE DI PROCIDA;AMATO IRENE;ITALIA AGLI ITALIANI;23;;
MONTE DI PROCIDA;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
MONTE DI PROCIDA;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
MUGNANO DI NAPOLI;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;9076;;
MUGNANO DI NAPOLI;BENEDUCE FLORA;FORZA ITALIA;2608;;
MUGNANO DI NAPOLI;;LEGA;505;;
MUGNANO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;354;;
MUGNANO DI NAPOLI;;NOI CON L'ITALIA - UDC;100;;
MUGNANO DI NAPOLI;PALMA GIOVANNA;PARTITO DEMOCRATICO;1629;;
MUGNANO DI NAPOLI;;+EUROPA;108;;
MUGNANO DI NAPOLI;;ITALIA EUROPA INSIEME;45;;
MUGNANO DI NAPOLI;;CIVICA POPOLARE LORENZIN;16;;
MUGNANO DI NAPOLI;MORRA CARLO;LIBERI E UGUALI;315;;
MUGNANO DI NAPOLI;REGA ANTONIO;POTERE AL POPOLO!;283;;
MUGNANO DI NAPOLI;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;79;;
MUGNANO DI NAPOLI;LUBRANO BENITO;CASAPOUND ITALIA;48;;
MUGNANO DI NAPOLI;AMATO IRENE;ITALIA AGLI ITALIANI;28;;
MUGNANO DI NAPOLI;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;19;;
MUGNANO DI NAPOLI;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;9;;
POZZUOLI;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;18438;;
POZZUOLI;BENEDUCE FLORA;FORZA ITALIA;5723;;
POZZUOLI;;LEGA;1338;;
POZZUOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;707;;
POZZUOLI;;NOI CON L'ITALIA - UDC;405;;
POZZUOLI;PALMA GIOVANNA;PARTITO DEMOCRATICO;4341;;
POZZUOLI;;+EUROPA;388;;
POZZUOLI;;CIVICA POPOLARE LORENZIN;241;;
POZZUOLI;;ITALIA EUROPA INSIEME;68;;
POZZUOLI;MORRA CARLO;LIBERI E UGUALI;1785;;
POZZUOLI;REGA ANTONIO;POTERE AL POPOLO!;622;;
POZZUOLI;LUBRANO BENITO;CASAPOUND ITALIA;125;;
POZZUOLI;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;114;;
POZZUOLI;AMATO IRENE;ITALIA AGLI ITALIANI;86;;
POZZUOLI;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;39;;
POZZUOLI;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;13;;
PROCIDA;BENEDUCE FLORA;FORZA ITALIA;1541;;
PROCIDA;;LEGA;189;;
PROCIDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;86;;
PROCIDA;;NOI CON L'ITALIA - UDC;20;;
PROCIDA;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;1456;;
PROCIDA;PALMA GIOVANNA;PARTITO DEMOCRATICO;865;;
PROCIDA;;+EUROPA;128;;
PROCIDA;;ITALIA EUROPA INSIEME;21;;
PROCIDA;;CIVICA POPOLARE LORENZIN;8;;
PROCIDA;MORRA CARLO;LIBERI E UGUALI;137;;
PROCIDA;REGA ANTONIO;POTERE AL POPOLO!;69;;
PROCIDA;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;21;;
PROCIDA;LUBRANO BENITO;CASAPOUND ITALIA;13;;
PROCIDA;AMATO IRENE;ITALIA AGLI ITALIANI;13;;
