

Ente;Candidato;Liste/Gruppi;Voti lista;;
ALTAVILLA SILENTINA;CARAFFA CLAUDIO;POTERE AL POPOLO!;17;;
ALTAVILLA SILENTINA;LORENZI RICCARDO;PARTITO COMUNISTA;11;;
ALTAVILLA SILENTINA;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;10;;
ALTAVILLA SILENTINA;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
ALTAVILLA SILENTINA;MAIESE FRANCESCO;PARTITO VALORE UMANO;4;;
ALTAVILLA SILENTINA;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
AQUARA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;235;;
AQUARA;GALLO FILOMENA;PARTITO DEMOCRATICO;171;;
AQUARA;;ITALIA EUROPA INSIEME;8;;
AQUARA;;+EUROPA;8;;
AQUARA;;CIVICA POPOLARE LORENZIN;3;;
AQUARA;SPINELLI COSTABILE;FRATELLI D'ITALIA CON GIORGIA MELONI;81;;
AQUARA;;FORZA ITALIA;72;;
AQUARA;;LEGA;36;;
AQUARA;;NOI CON L'ITALIA - UDC;7;;
AQUARA;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;36;;
AQUARA;CARAFFA CLAUDIO;POTERE AL POPOLO!;10;;
AQUARA;LUONGO SALVATORE;CASAPOUND ITALIA;4;;
AQUARA;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;5;;
AQUARA;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;3;;
AQUARA;MAIESE FRANCESCO;PARTITO VALORE UMANO;1;;
AQUARA;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
AQUARA;LORENZI RICCARDO;PARTITO COMUNISTA;0;;
AQUARA;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ASCEA;SPINELLI COSTABILE;FORZA ITALIA;700;;
ASCEA;;LEGA;230;;
ASCEA;;FRATELLI D'ITALIA CON GIORGIA MELONI;93;;
ASCEA;;NOI CON L'ITALIA - UDC;49;;
ASCEA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;925;;
ASCEA;GALLO FILOMENA;PARTITO DEMOCRATICO;364;;
ASCEA;;+EUROPA;27;;
ASCEA;;CIVICA POPOLARE LORENZIN;26;;
ASCEA;;ITALIA EUROPA INSIEME;5;;
ASCEA;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;49;;
ASCEA;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;24;;
ASCEA;LUONGO SALVATORE;CASAPOUND ITALIA;18;;
ASCEA;CARAFFA CLAUDIO;POTERE AL POPOLO!;9;;
ASCEA;MAIESE FRANCESCO;PARTITO VALORE UMANO;9;;
ASCEA;LORENZI RICCARDO;PARTITO COMUNISTA;8;;
ASCEA;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;3;;
ASCEA;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
ASCEA;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
ATENA LUCANA;SPINELLI COSTABILE;FORZA ITALIA;258;;
ATENA LUCANA;;LEGA;106;;
ATENA LUCANA;;FRATELLI D'ITALIA CON GIORGIA MELONI;70;;
ATENA LUCANA;;NOI CON L'ITALIA - UDC;19;;
ATENA LUCANA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;384;;
ATENA LUCANA;GALLO FILOMENA;PARTITO DEMOCRATICO;159;;
ATENA LUCANA;;+EUROPA;16;;
ATENA LUCANA;;CIVICA POPOLARE LORENZIN;7;;
ATENA LUCANA;;ITALIA EUROPA INSIEME;0;;
ATENA LUCANA;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;37;;
ATENA LUCANA;CARAFFA CLAUDIO;POTERE AL POPOLO!;12;;
ATENA LUCANA;LUONGO SALVATORE;CASAPOUND ITALIA;4;;
ATENA LUCANA;LORENZI RICCARDO;PARTITO COMUNISTA;5;;
ATENA LUCANA;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;3;;
ATENA LUCANA;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;4;;
ATENA LUCANA;MAIESE FRANCESCO;PARTITO VALORE UMANO;2;;
ATENA LUCANA;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ATENA LUCANA;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
AULETTA;SPINELLI COSTABILE;FORZA ITALIA;227;;
AULETTA;;LEGA;90;;
AULETTA;;NOI CON L'ITALIA - UDC;56;;
AULETTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;38;;
AULETTA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;376;;
AULETTA;GALLO FILOMENA;PARTITO DEMOCRATICO;222;;
AULETTA;;CIVICA POPOLARE LORENZIN;42;;
AULETTA;;+EUROPA;7;;
AULETTA;;ITALIA EUROPA INSIEME;3;;
AULETTA;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;50;;
AULETTA;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;7;;
AULETTA;CARAFFA CLAUDIO;POTERE AL POPOLO!;6;;
AULETTA;LORENZI RICCARDO;PARTITO COMUNISTA;4;;
AULETTA;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;3;;
AULETTA;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
AULETTA;MAIESE FRANCESCO;PARTITO VALORE UMANO;2;;
AULETTA;LUONGO SALVATORE;CASAPOUND ITALIA;1;;
AULETTA;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
BATTIPAGLIA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;9479;;
BATTIPAGLIA;SPINELLI COSTABILE;FORZA ITALIA;4969;;
BATTIPAGLIA;;LEGA;1860;;
