

Ente;Candidato;Liste/Gruppi;Voti lista;;
CARINARO;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;11;;
CARINARO;ORLANDO ANTONIO;PARTITO VALORE UMANO;4;;
CARINARO;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CARINARO;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
CASAGIOVE;MORONESE VILMA;MOVIMENTO 5 STELLE;3356;;
CASAGIOVE;PETRENGA GIOVANNA;FORZA ITALIA;1116;;
CASAGIOVE;;LEGA;383;;
CASAGIOVE;;FRATELLI D'ITALIA CON GIORGIA MELONI;273;;
CASAGIOVE;;NOI CON L'ITALIA - UDC;31;;
CASAGIOVE;CAPUTO NICOLA;PARTITO DEMOCRATICO;848;;
CASAGIOVE;;+EUROPA;86;;
CASAGIOVE;;CIVICA POPOLARE LORENZIN;55;;
CASAGIOVE;;ITALIA EUROPA INSIEME;33;;
CASAGIOVE;FABROCILE ANTONELLO;LIBERI E UGUALI;158;;
CASAGIOVE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;94;;
CASAGIOVE;RASCATO ERNESTO;POTERE AL POPOLO!;51;;
CASAGIOVE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;30;;
CASAGIOVE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;21;;
CASAGIOVE;MONTELEONE GUIDO;PARTITO COMUNISTA;17;;
CASAGIOVE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
CASAGIOVE;ORLANDO ANTONIO;PARTITO VALORE UMANO;5;;
CASAGIOVE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;4;;
CASAL DI PRINCIPE;MORONESE VILMA;MOVIMENTO 5 STELLE;4405;;
CASAL DI PRINCIPE;PETRENGA GIOVANNA;FORZA ITALIA;2344;;
CASAL DI PRINCIPE;;FRATELLI D'ITALIA CON GIORGIA MELONI;340;;
CASAL DI PRINCIPE;;LEGA;319;;
CASAL DI PRINCIPE;;NOI CON L'ITALIA - UDC;61;;
CASAL DI PRINCIPE;CAPUTO NICOLA;PARTITO DEMOCRATICO;533;;
CASAL DI PRINCIPE;;CIVICA POPOLARE LORENZIN;70;;
CASAL DI PRINCIPE;;ITALIA EUROPA INSIEME;54;;
CASAL DI PRINCIPE;;+EUROPA;35;;
CASAL DI PRINCIPE;FABROCILE ANTONELLO;LIBERI E UGUALI;86;;
CASAL DI PRINCIPE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;45;;
CASAL DI PRINCIPE;RASCATO ERNESTO;POTERE AL POPOLO!;38;;
CASAL DI PRINCIPE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;28;;
CASAL DI PRINCIPE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;23;;
CASAL DI PRINCIPE;MONTELEONE GUIDO;PARTITO COMUNISTA;20;;
CASAL DI PRINCIPE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;18;;
CASAL DI PRINCIPE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;5;;
CASAL DI PRINCIPE;ORLANDO ANTONIO;PARTITO VALORE UMANO;3;;
CASALUCE;MORONESE VILMA;MOVIMENTO 5 STELLE;2069;;
CASALUCE;PETRENGA GIOVANNA;FORZA ITALIA;1134;;
CASALUCE;;FRATELLI D'ITALIA CON GIORGIA MELONI;233;;
CASALUCE;;LEGA;217;;
CASALUCE;;NOI CON L'ITALIA - UDC;23;;
CASALUCE;CAPUTO NICOLA;PARTITO DEMOCRATICO;459;;
CASALUCE;;+EUROPA;24;;
CASALUCE;;CIVICA POPOLARE LORENZIN;21;;
CASALUCE;;ITALIA EUROPA INSIEME;8;;
CASALUCE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;172;;
CASALUCE;FABROCILE ANTONELLO;LIBERI E UGUALI;43;;
CASALUCE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;14;;
CASALUCE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;16;;
CASALUCE;RASCATO ERNESTO;POTERE AL POPOLO!;10;;
CASALUCE;MONTELEONE GUIDO;PARTITO COMUNISTA;10;;
CASALUCE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
CASALUCE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;3;;
CASALUCE;ORLANDO ANTONIO;PARTITO VALORE UMANO;1;;
CASAPESENNA;PETRENGA GIOVANNA;FORZA ITALIA;975;;
CASAPESENNA;;LEGA;140;;
CASAPESENNA;;FRATELLI D'ITALIA CON GIORGIA MELONI;132;;
CASAPESENNA;;NOI CON L'ITALIA - UDC;26;;
CASAPESENNA;MORONESE VILMA;MOVIMENTO 5 STELLE;941;;
CASAPESENNA;CAPUTO NICOLA;PARTITO DEMOCRATICO;549;;
CASAPESENNA;;CIVICA POPOLARE LORENZIN;24;;
CASAPESENNA;;ITALIA EUROPA INSIEME;14;;
CASAPESENNA;;+EUROPA;7;;
CASAPESENNA;FABROCILE ANTONELLO;LIBERI E UGUALI;36;;
CASAPESENNA;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;12;;
CASAPESENNA;RASCATO ERNESTO;POTERE AL POPOLO!;10;;
CASAPESENNA;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;10;;
CASAPESENNA;MONTELEONE GUIDO;PARTITO COMUNISTA;9;;
CASAPESENNA;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;8;;
CASAPESENNA;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;4;;
CASAPESENNA;ORLANDO ANTONIO;PARTITO VALORE UMANO;2;;
CASAPESENNA;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
CASAPULLA;MORONESE VILMA;MOVIMENTO 5 STELLE;2313;;
CASAPULLA;PETRENGA GIOVANNA;FORZA ITALIA;771;;
CASAPULLA;;LEGA;234;;
CASAPULLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;146;;
CASAPULLA;;NOI CON L'ITALIA - UDC;19;;
CASAPULLA;CAPUTO NICOLA;PARTITO DEMOCRATICO;436;;
CASAPULLA;;+EUROPA;31;;
CASAPULLA;;CIVICA POPOLARE LORENZIN;26;;
CASAPULLA;;ITALIA EUROPA INSIEME;9;;
CASAPULLA;FABROCILE ANTONELLO;LIBERI E UGUALI;57;;
CASAPULLA;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;39;;
CASAPULLA;RASCATO ERNESTO;POTERE AL POPOLO!;29;;
CASAPULLA;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;19;;
CASAPULLA;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;19;;
CASAPULLA;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;11;;
CASAPULLA;ORLANDO ANTONIO;PARTITO VALORE UMANO;9;;
CASAPULLA;MONTELEONE GUIDO;PARTITO COMUNISTA;5;;
CASAPULLA;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CASERTA;MORONESE VILMA;MOVIMENTO 5 STELLE;16880;;
CASERTA;PETRENGA GIOVANNA;FORZA ITALIA;5605;;
CASERTA;;LEGA;2122;;
CASERTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1647;;
CASERTA;;NOI CON L'ITALIA - UDC;211;;
CASERTA;CAPUTO NICOLA;PARTITO DEMOCRATICO;5181;;
CASERTA;;+EUROPA;793;;
CASERTA;;CIVICA POPOLARE LORENZIN;289;;
CASERTA;;ITALIA EUROPA INSIEME;277;;
CASERTA;FABROCILE ANTONELLO;LIBERI E UGUALI;1129;;
CASERTA;RASCATO ERNESTO;POTERE AL POPOLO!;530;;
CASERTA;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;287;;
CASERTA;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;231;;
CASERTA;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;135;;
CASERTA;MONTELEONE GUIDO;PARTITO COMUNISTA;115;;
CASERTA;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;77;;
CASERTA;ORLANDO ANTONIO;PARTITO VALORE UMANO;49;;
CASERTA;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;31;;
CASTEL MORRONE;MORONESE VILMA;MOVIMENTO 5 STELLE;1042;;
CASTEL MORRONE;PETRENGA GIOVANNA;FORZA ITALIA;186;;
CASTEL MORRONE;;FRATELLI D'ITALIA CON GIORGIA MELONI;144;;
CASTEL MORRONE;;LEGA;73;;
CASTEL MORRONE;;NOI CON L'ITALIA - UDC;7;;
CASTEL MORRONE;CAPUTO NICOLA;PARTITO DEMOCRATICO;174;;
CASTEL MORRONE;;CIVICA POPOLARE LORENZIN;114;;
CASTEL MORRONE;;+EUROPA;13;;
CASTEL MORRONE;;ITALIA EUROPA INSIEME;5;;
CASTEL MORRONE;FABROCILE ANTONELLO;LIBERI E UGUALI;60;;
CASTEL MORRONE;RASCATO ERNESTO;POTERE AL POPOLO!;18;;
CASTEL MORRONE;MONTELEONE GUIDO;PARTITO COMUNISTA;15;;
CASTEL MORRONE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;11;;
CASTEL MORRONE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;9;;
CASTEL MORRONE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
CASTEL MORRONE;ORLANDO ANTONIO;PARTITO VALORE UMANO;5;;
CASTEL MORRONE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;2;;
CASTEL MORRONE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
CASTEL VOLTURNO;MORONESE VILMA;MOVIMENTO 5 STELLE;3792;;
CASTEL VOLTURNO;PETRENGA GIOVANNA;FORZA ITALIA;2146;;
CASTEL VOLTURNO;;LEGA;697;;
CASTEL VOLTURNO;;FRATELLI D'ITALIA CON GIORGIA MELONI;357;;
CASTEL VOLTURNO;;NOI CON L'ITALIA - UDC;67;;
CASTEL VOLTURNO;CAPUTO NICOLA;PARTITO DEMOCRATICO;584;;
CASTEL VOLTURNO;;CIVICA POPOLARE LORENZIN;28;;
CASTEL VOLTURNO;;+EUROPA;20;;
CASTEL VOLTURNO;;ITALIA EUROPA INSIEME;10;;
CASTEL VOLTURNO;FABROCILE ANTONELLO;LIBERI E UGUALI;289;;
CASTEL VOLTURNO;RASCATO ERNESTO;POTERE AL POPOLO!;68;;
