

Ente;Candidato;Liste/Gruppi;Voti lista;;
BRACIGLIANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
CASTEL SAN GIORGIO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;3084;;
CASTEL SAN GIORGIO;MARRAZZO PASQUALE;FORZA ITALIA;1418;;
CASTEL SAN GIORGIO;;FRATELLI D'ITALIA CON GIORGIA MELONI;470;;
CASTEL SAN GIORGIO;;LEGA;328;;
CASTEL SAN GIORGIO;;NOI CON L'ITALIA - UDC;85;;
CASTEL SAN GIORGIO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1101;;
CASTEL SAN GIORGIO;;+EUROPA;74;;
CASTEL SAN GIORGIO;;CIVICA POPOLARE LORENZIN;73;;
CASTEL SAN GIORGIO;;ITALIA EUROPA INSIEME;14;;
CASTEL SAN GIORGIO;LAMBIASE GIOVANNI;LIBERI E UGUALI;277;;
CASTEL SAN GIORGIO;RESTAINO VALENTINA;POTERE AL POPOLO!;66;;
CASTEL SAN GIORGIO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;46;;
CASTEL SAN GIORGIO;GERARDI GIOVANNA;CASAPOUND ITALIA;36;;
CASTEL SAN GIORGIO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;36;;
CASTEL SAN GIORGIO;PANICCI STEFANO;PARTITO COMUNISTA;27;;
CASTEL SAN GIORGIO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;13;;
CASTEL SAN GIORGIO;MORINELLI ROSALBA;PARTITO VALORE UMANO;7;;
CASTEL SAN GIORGIO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;6;;
CAVA DE' TIRRENI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;11543;;
CAVA DE' TIRRENI;MARRAZZO PASQUALE;FORZA ITALIA;5325;;
CAVA DE' TIRRENI;;FRATELLI D'ITALIA CON GIORGIA MELONI;1484;;
CAVA DE' TIRRENI;;LEGA;1202;;
CAVA DE' TIRRENI;;NOI CON L'ITALIA - UDC;464;;
CAVA DE' TIRRENI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;3604;;
CAVA DE' TIRRENI;;+EUROPA;332;;
CAVA DE' TIRRENI;;ITALIA EUROPA INSIEME;184;;
CAVA DE' TIRRENI;;CIVICA POPOLARE LORENZIN;89;;
CAVA DE' TIRRENI;LAMBIASE GIOVANNI;LIBERI E UGUALI;634;;
CAVA DE' TIRRENI;RESTAINO VALENTINA;POTERE AL POPOLO!;485;;
CAVA DE' TIRRENI;GERARDI GIOVANNA;CASAPOUND ITALIA;244;;
CAVA DE' TIRRENI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;212;;
CAVA DE' TIRRENI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;152;;
CAVA DE' TIRRENI;PANICCI STEFANO;PARTITO COMUNISTA;137;;
CAVA DE' TIRRENI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;21;;
CAVA DE' TIRRENI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;22;;
CAVA DE' TIRRENI;MORINELLI ROSALBA;PARTITO VALORE UMANO;15;;
CETARA;IANNUZZI BARBATO;PARTITO DEMOCRATICO;339;;
CETARA;;ITALIA EUROPA INSIEME;11;;
CETARA;;+EUROPA;11;;
CETARA;;CIVICA POPOLARE LORENZIN;4;;
CETARA;CIOFFI ANDREA;MOVIMENTO 5 STELLE;290;;
CETARA;MARRAZZO PASQUALE;FORZA ITALIA;166;;
CETARA;;FRATELLI D'ITALIA CON GIORGIA MELONI;65;;
CETARA;;LEGA;33;;
CETARA;;NOI CON L'ITALIA - UDC;25;;
CETARA;LAMBIASE GIOVANNI;LIBERI E UGUALI;20;;
CETARA;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;9;;
CETARA;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;9;;
CETARA;GERARDI GIOVANNA;CASAPOUND ITALIA;6;;
CETARA;RESTAINO VALENTINA;POTERE AL POPOLO!;5;;
CETARA;PANICCI STEFANO;PARTITO COMUNISTA;3;;
CETARA;MORINELLI ROSALBA;PARTITO VALORE UMANO;1;;
CETARA;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CETARA;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
CONCA DEI MARINI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;122;;
CONCA DEI MARINI;MARRAZZO PASQUALE;FORZA ITALIA;71;;
CONCA DEI MARINI;;LEGA;21;;
CONCA DEI MARINI;;FRATELLI D'ITALIA CON GIORGIA MELONI;12;;
CONCA DEI MARINI;;NOI CON L'ITALIA - UDC;12;;
CONCA DEI MARINI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;66;;
CONCA DEI MARINI;;CIVICA POPOLARE LORENZIN;15;;
CONCA DEI MARINI;;+EUROPA;6;;
CONCA DEI MARINI;;ITALIA EUROPA INSIEME;0;;
CONCA DEI MARINI;RESTAINO VALENTINA;POTERE AL POPOLO!;9;;
CONCA DEI MARINI;LAMBIASE GIOVANNI;LIBERI E UGUALI;5;;
CONCA DEI MARINI;GERARDI GIOVANNA;CASAPOUND ITALIA;3;;
CONCA DEI MARINI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;1;;
CONCA DEI MARINI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;1;;
CONCA DEI MARINI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CONCA DEI MARINI;PANICCI STEFANO;PARTITO COMUNISTA;0;;
CONCA DEI MARINI;MORINELLI ROSALBA;PARTITO VALORE UMANO;0;;
CONCA DEI MARINI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
CORBARA;CIOFFI ANDREA;MOVIMENTO 5 STELLE;583;;
CORBARA;MARRAZZO PASQUALE;FORZA ITALIA;299;;
CORBARA;;FRATELLI D'ITALIA CON GIORGIA MELONI;109;;
CORBARA;;LEGA;90;;
CORBARA;;NOI CON L'ITALIA - UDC;24;;
CORBARA;IANNUZZI BARBATO;PARTITO DEMOCRATICO;133;;
CORBARA;;CIVICA POPOLARE LORENZIN;3;;
CORBARA;;ITALIA EUROPA INSIEME;2;;
CORBARA;;+EUROPA;2;;
CORBARA;LAMBIASE GIOVANNI;LIBERI E UGUALI;11;;
CORBARA;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;11;;
CORBARA;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;10;;
CORBARA;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;8;;
CORBARA;RESTAINO VALENTINA;POTERE AL POPOLO!;3;;
CORBARA;GERARDI GIOVANNA;CASAPOUND ITALIA;4;;
CORBARA;PANICCI STEFANO;PARTITO COMUNISTA;2;;
CORBARA;MORINELLI ROSALBA;PARTITO VALORE UMANO;2;;
CORBARA;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
FISCIANO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;2566;;
FISCIANO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1785;;
FISCIANO;;+EUROPA;79;;
FISCIANO;;ITALIA EUROPA INSIEME;69;;
FISCIANO;;CIVICA POPOLARE LORENZIN;19;;
FISCIANO;MARRAZZO PASQUALE;FORZA ITALIA;918;;
FISCIANO;;LEGA;352;;
FISCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;252;;
FISCIANO;;NOI CON L'ITALIA - UDC;85;;
FISCIANO;LAMBIASE GIOVANNI;LIBERI E UGUALI;211;;
FISCIANO;RESTAINO VALENTINA;POTERE AL POPOLO!;51;;
FISCIANO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;35;;
FISCIANO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;34;;
FISCIANO;PANICCI STEFANO;PARTITO COMUNISTA;31;;
FISCIANO;GERARDI GIOVANNA;CASAPOUND ITALIA;16;;
FISCIANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;5;;
FISCIANO;MORINELLI ROSALBA;PARTITO VALORE UMANO;10;;
FISCIANO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;9;;
FURORE;MARRAZZO PASQUALE;FORZA ITALIA;91;;
FURORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;35;;
FURORE;;LEGA;17;;
FURORE;;NOI CON L'ITALIA - UDC;7;;
FURORE;CIOFFI ANDREA;MOVIMENTO 5 STELLE;132;;
FURORE;IANNUZZI BARBATO;PARTITO DEMOCRATICO;57;;
FURORE;;+EUROPA;7;;
FURORE;;ITALIA EUROPA INSIEME;1;;
FURORE;;CIVICA POPOLARE LORENZIN;0;;
FURORE;LAMBIASE GIOVANNI;LIBERI E UGUALI;6;;
FURORE;RESTAINO VALENTINA;POTERE AL POPOLO!;0;;
FURORE;GERARDI GIOVANNA;CASAPOUND ITALIA;0;;
FURORE;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;0;;
FURORE;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;0;;
FURORE;PANICCI STEFANO;PARTITO COMUNISTA;0;;
FURORE;MORINELLI ROSALBA;PARTITO VALORE UMANO;0;;
FURORE;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
FURORE;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
MAIORI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;1023;;
MAIORI;MARRAZZO PASQUALE;FORZA ITALIA;590;;
MAIORI;;LEGA;134;;
MAIORI;;FRATELLI D'ITALIA CON GIORGIA MELONI;130;;
MAIORI;;NOI CON L'ITALIA - UDC;41;;
MAIORI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;495;;
MAIORI;;CIVICA POPOLARE LORENZIN;39;;
MAIORI;;+EUROPA;37;;
MAIORI;;ITALIA EUROPA INSIEME;13;;
MAIORI;LAMBIASE GIOVANNI;LIBERI E UGUALI;72;;
MAIORI;RESTAINO VALENTINA;POTERE AL POPOLO!;33;;
MAIORI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;21;;
MAIORI;GERARDI GIOVANNA;CASAPOUND ITALIA;13;;
MAIORI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;12;;
MAIORI;PANICCI STEFANO;PARTITO COMUNISTA;11;;
MAIORI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;6;;
MAIORI;MORINELLI ROSALBA;PARTITO VALORE UMANO;2;;
MAIORI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
MERCATO SAN SEVERINO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;4721;;
MERCATO SAN SEVERINO;MARRAZZO PASQUALE;FORZA ITALIA;2079;;
MERCATO SAN SEVERINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;586;;
MERCATO SAN SEVERINO;;LEGA;543;;
MERCATO SAN SEVERINO;;NOI CON L'ITALIA - UDC;89;;
MERCATO SAN SEVERINO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1827;;
MERCATO SAN SEVERINO;;+EUROPA;84;;
MERCATO SAN SEVERINO;;CIVICA POPOLARE LORENZIN;64;;
MERCATO SAN SEVERINO;;ITALIA EUROPA INSIEME;56;;
MERCATO SAN SEVERINO;LAMBIASE GIOVANNI;LIBERI E UGUALI;365;;
MERCATO SAN SEVERINO;RESTAINO VALENTINA;POTERE AL POPOLO!;129;;
MERCATO SAN SEVERINO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;58;;
