

Ente;Liste/Gruppi;Voti;
AQUARA;FORZA NUOVA;2;;
AQUARA;PARTITO PIRATA;2;;
AQUARA;EUROPA VERDE;1;;
AQUARA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
AQUARA;CASAPOUND ITALIA - DESTRE UNITE;0;;
ASCEA;LEGA SALVINI PREMIER;930;;
ASCEA;MOVIMENTO 5 STELLE;753;;
ASCEA;FORZA ITALIA;653;;
ASCEA;PARTITO DEMOCRATICO;504;;
ASCEA;FRATELLI D'ITALIA;363;;
ASCEA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;62;;
ASCEA;EUROPA VERDE;47;;
ASCEA;PARTITO COMUNISTA;30;;
ASCEA;PARTITO ANIMALISTA;27;;
ASCEA;LA SINISTRA;25;;
ASCEA;FORZA NUOVA;11;;
ASCEA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;11;;
ASCEA;PARTITO PIRATA;9;;
ASCEA;CASAPOUND ITALIA - DESTRE UNITE;9;;
ASCEA;POPOLARI PER L'ITALIA;6;;
ATENA LUCANA;LEGA SALVINI PREMIER;230;;
ATENA LUCANA;PARTITO DEMOCRATICO;152;;
ATENA LUCANA;MOVIMENTO 5 STELLE;149;;
ATENA LUCANA;FRATELLI D'ITALIA;113;;
ATENA LUCANA;FORZA ITALIA;72;;
ATENA LUCANA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;64;;
ATENA LUCANA;EUROPA VERDE;19;;
ATENA LUCANA;LA SINISTRA;18;;
ATENA LUCANA;PARTITO COMUNISTA;8;;
ATENA LUCANA;CASAPOUND ITALIA - DESTRE UNITE;3;;
ATENA LUCANA;PARTITO ANIMALISTA;3;;
ATENA LUCANA;PARTITO PIRATA;2;;
ATENA LUCANA;POPOLARI PER L'ITALIA;2;;
ATENA LUCANA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
ATENA LUCANA;FORZA NUOVA;1;;
ATRANI;LEGA SALVINI PREMIER;143;;
ATRANI;PARTITO DEMOCRATICO;127;;
ATRANI;MOVIMENTO 5 STELLE;104;;
ATRANI;FRATELLI D'ITALIA;63;;
ATRANI;FORZA ITALIA;54;;
ATRANI;LA SINISTRA;10;;
ATRANI;EUROPA VERDE;8;;
ATRANI;PARTITO ANIMALISTA;7;;
ATRANI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7;;
ATRANI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
ATRANI;FORZA NUOVA;0;;
ATRANI;PARTITO COMUNISTA;0;;
ATRANI;CASAPOUND ITALIA - DESTRE UNITE;0;;
ATRANI;PARTITO PIRATA;0;;
ATRANI;POPOLARI PER L'ITALIA;0;;
AULETTA;LEGA SALVINI PREMIER;411;;
AULETTA;PARTITO DEMOCRATICO;330;;
AULETTA;MOVIMENTO 5 STELLE;265;;
AULETTA;FORZA ITALIA;175;;
AULETTA;FRATELLI D'ITALIA;118;;
AULETTA;LA SINISTRA;43;;
AULETTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;20;;
AULETTA;EUROPA VERDE;14;;
AULETTA;PARTITO COMUNISTA;12;;
AULETTA;PARTITO ANIMALISTA;11;;
AULETTA;FORZA NUOVA;5;;
AULETTA;POPOLARI PER L'ITALIA;4;;
AULETTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
AULETTA;PARTITO PIRATA;2;;
AULETTA;CASAPOUND ITALIA - DESTRE UNITE;1;;
BARONISSI;MOVIMENTO 5 STELLE;2795;;
BARONISSI;PARTITO DEMOCRATICO;2301;;
BARONISSI;LEGA SALVINI PREMIER;2285;;
BARONISSI;FORZA ITALIA;1164;;
BARONISSI;FRATELLI D'ITALIA;711;;
BARONISSI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;417;;
BARONISSI;LA SINISTRA;308;;
BARONISSI;EUROPA VERDE;198;;
BARONISSI;PARTITO ANIMALISTA;128;;
BARONISSI;PARTITO COMUNISTA;87;;
BARONISSI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;45;;
BARONISSI;PARTITO PIRATA;20;;
BARONISSI;FORZA NUOVA;19;;
BARONISSI;CASAPOUND ITALIA - DESTRE UNITE;17;;
BARONISSI;POPOLARI PER L'ITALIA;16;;
BATTIPAGLIA;MOVIMENTO 5 STELLE;5606;;
BATTIPAGLIA;LEGA SALVINI PREMIER;4685;;
BATTIPAGLIA;PARTITO DEMOCRATICO;2557;;
BATTIPAGLIA;FRATELLI D'ITALIA;2266;;
BATTIPAGLIA;FORZA ITALIA;1723;;
BATTIPAGLIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;707;;
BATTIPAGLIA;LA SINISTRA;322;;
BATTIPAGLIA;EUROPA VERDE;228;;
BATTIPAGLIA;PARTITO COMUNISTA;110;;
BATTIPAGLIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;98;;
BATTIPAGLIA;PARTITO ANIMALISTA;95;;
BATTIPAGLIA;POPOLARI PER L'ITALIA;44;;
BATTIPAGLIA;PARTITO PIRATA;40;;
BATTIPAGLIA;CASAPOUND ITALIA - DESTRE UNITE;36;;
BATTIPAGLIA;FORZA NUOVA;25;;
BELLIZZI;MOVIMENTO 5 STELLE;2397;;
BELLIZZI;LEGA SALVINI PREMIER;2229;;
BELLIZZI;FORZA ITALIA;1067;;
BELLIZZI;PARTITO DEMOCRATICO;922;;
BELLIZZI;FRATELLI D'ITALIA;419;;
BELLIZZI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;147;;
BELLIZZI;EUROPA VERDE;72;;
BELLIZZI;LA SINISTRA;72;;
BELLIZZI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;57;;
BELLIZZI;PARTITO ANIMALISTA;55;;
BELLIZZI;PARTITO COMUNISTA;50;;
BELLIZZI;POPOLARI PER L'ITALIA;19;;
BELLIZZI;PARTITO PIRATA;13;;
BELLIZZI;CASAPOUND ITALIA - DESTRE UNITE;13;;
BELLIZZI;FORZA NUOVA;12;;
BELLOSGUARDO;PARTITO DEMOCRATICO;149;;
BELLOSGUARDO;LEGA SALVINI PREMIER;89;;
BELLOSGUARDO;MOVIMENTO 5 STELLE;83;;
BELLOSGUARDO;FORZA ITALIA;83;;
BELLOSGUARDO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;29;;
BELLOSGUARDO;FRATELLI D'ITALIA;23;;
BELLOSGUARDO;LA SINISTRA;12;;
BELLOSGUARDO;PARTITO ANIMALISTA;9;;
BELLOSGUARDO;EUROPA VERDE;6;;
BELLOSGUARDO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
BELLOSGUARDO;PARTITO COMUNISTA;3;;
BELLOSGUARDO;PARTITO PIRATA;1;;
BELLOSGUARDO;FORZA NUOVA;0;;
BELLOSGUARDO;CASAPOUND ITALIA - DESTRE UNITE;0;;
BELLOSGUARDO;POPOLARI PER L'ITALIA;0;;
BRACIGLIANO;PARTITO DEMOCRATICO;576;;
BRACIGLIANO;MOVIMENTO 5 STELLE;455;;
BRACIGLIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;384;;
BRACIGLIANO;LEGA SALVINI PREMIER;369;;
BRACIGLIANO;FORZA ITALIA;280;;
BRACIGLIANO;FRATELLI D'ITALIA;178;;
BRACIGLIANO;EUROPA VERDE;16;;
BRACIGLIANO;LA SINISTRA;14;;
BRACIGLIANO;PARTITO COMUNISTA;11;;
BRACIGLIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;8;;
BRACIGLIANO;PARTITO ANIMALISTA;6;;
BRACIGLIANO;CASAPOUND ITALIA - DESTRE UNITE;4;;
BRACIGLIANO;PARTITO PIRATA;3;;
BRACIGLIANO;POPOLARI PER L'ITALIA;2;;
BRACIGLIANO;FORZA NUOVA;2;;
BUCCINO;LEGA SALVINI PREMIER;591;;
BUCCINO;MOVIMENTO 5 STELLE;501;;
BUCCINO;PARTITO DEMOCRATICO;456;;
BUCCINO;FORZA ITALIA;198;;
BUCCINO;FRATELLI D'ITALIA;123;;
BUCCINO;LA SINISTRA;48;;
BUCCINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;35;;
BUCCINO;PARTITO COMUNISTA;30;;
BUCCINO;EUROPA VERDE;27;;
BUCCINO;FORZA NUOVA;8;;
BUCCINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
BUCCINO;PARTITO ANIMALISTA;5;;
BUCCINO;CASAPOUND ITALIA - DESTRE UNITE;4;;
BUCCINO;POPOLARI PER L'ITALIA;1;;
BUCCINO;PARTITO PIRATA;0;;
BUONABITACOLO;LEGA SALVINI PREMIER;247;;
BUONABITACOLO;MOVIMENTO 5 STELLE;236;;
BUONABITACOLO;PARTITO DEMOCRATICO;167;;
BUONABITACOLO;FORZA ITALIA;57;;
BUONABITACOLO;FRATELLI D'ITALIA;51;;
