

Ente;Candidato;Liste/Gruppi;Voti lista;;
MARIGLIANELLA;;ITALIA EUROPA INSIEME;5;;
MARIGLIANELLA;IASEVOLI VINCENZA;LIBERI E UGUALI;64;;
MARIGLIANELLA;LA MARCA GIACOMO;POTERE AL POPOLO!;34;;
MARIGLIANELLA;ACUNZO GIOVANNI;ITALIA AGLI ITALIANI;21;;
MARIGLIANELLA;ESPOSITO GABRIELE;CASAPOUND ITALIA;19;;
MARIGLIANELLA;MAROTTA GABRIELLA;IL POPOLO DELLA FAMIGLIA;15;;
MARIGLIANELLA;LOFFREDO DOMENICO;PER UNA SINISTRA RIVOLUZIONARIA;4;;
MARIGLIANO;DI MAIO LUIGI;MOVIMENTO 5 STELLE;8777;;
MARIGLIANO;SGARBI VITTORIO;FORZA ITALIA;2748;;
MARIGLIANO;;LEGA;360;;
MARIGLIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;239;;
MARIGLIANO;;NOI CON L'ITALIA - UDC;95;;
MARIGLIANO;FALCONE ANTONIO;PARTITO DEMOCRATICO;2413;;
MARIGLIANO;;CIVICA POPOLARE LORENZIN;313;;
MARIGLIANO;;+EUROPA;204;;
MARIGLIANO;;ITALIA EUROPA INSIEME;35;;
MARIGLIANO;IASEVOLI VINCENZA;LIBERI E UGUALI;263;;
MARIGLIANO;LA MARCA GIACOMO;POTERE AL POPOLO!;169;;
MARIGLIANO;ESPOSITO GABRIELE;CASAPOUND ITALIA;74;;
MARIGLIANO;ACUNZO GIOVANNI;ITALIA AGLI ITALIANI;42;;
MARIGLIANO;LOFFREDO DOMENICO;PER UNA SINISTRA RIVOLUZIONARIA;27;;
MARIGLIANO;MAROTTA GABRIELLA;IL POPOLO DELLA FAMIGLIA;25;;
POMIGLIANO D'ARCO;DI MAIO LUIGI;MOVIMENTO 5 STELLE;14366;;
POMIGLIANO D'ARCO;SGARBI VITTORIO;FORZA ITALIA;2535;;
POMIGLIANO D'ARCO;;FRATELLI D'ITALIA CON GIORGIA MELONI;679;;
POMIGLIANO D'ARCO;;NOI CON L'ITALIA - UDC;505;;
POMIGLIANO D'ARCO;;LEGA;333;;
POMIGLIANO D'ARCO;FALCONE ANTONIO;PARTITO DEMOCRATICO;2548;;
POMIGLIANO D'ARCO;;+EUROPA;196;;
POMIGLIANO D'ARCO;;ITALIA EUROPA INSIEME;66;;
