

Ente;Candidato;Liste/Gruppi;Voti lista;;
SAN SEBASTIANO AL VESUVIO;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;2563;;
SAN SEBASTIANO AL VESUVIO;RUSSO ELISA;FORZA ITALIA;1024;;
SAN SEBASTIANO AL VESUVIO;;FRATELLI D'ITALIA CON GIORGIA MELONI;133;;
SAN SEBASTIANO AL VESUVIO;;LEGA;129;;
SAN SEBASTIANO AL VESUVIO;;NOI CON L'ITALIA - UDC;23;;
SAN SEBASTIANO AL VESUVIO;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;821;;
SAN SEBASTIANO AL VESUVIO;;+EUROPA;89;;
SAN SEBASTIANO AL VESUVIO;;ITALIA EUROPA INSIEME;49;;
SAN SEBASTIANO AL VESUVIO;;CIVICA POPOLARE LORENZIN;3;;
SAN SEBASTIANO AL VESUVIO;MICERA MASSIMO;LIBERI E UGUALI;141;;
SAN SEBASTIANO AL VESUVIO;MADDALONI MARIO;POTERE AL POPOLO!;105;;
SAN SEBASTIANO AL VESUVIO;GARGIULO ADELE;CASAPOUND ITALIA;20;;
SAN SEBASTIANO AL VESUVIO;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;20;;
SAN SEBASTIANO AL VESUVIO;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;9;;
SAN SEBASTIANO AL VESUVIO;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
SAN SEBASTIANO AL VESUVIO;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
SANT'ANASTASIA;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;8117;;
SANT'ANASTASIA;RUSSO ELISA;FORZA ITALIA;3004;;
SANT'ANASTASIA;;LEGA;308;;
SANT'ANASTASIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;265;;
SANT'ANASTASIA;;NOI CON L'ITALIA - UDC;153;;
SANT'ANASTASIA;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;1577;;
SANT'ANASTASIA;;ITALIA EUROPA INSIEME;250;;
SANT'ANASTASIA;;+EUROPA;121;;
SANT'ANASTASIA;;CIVICA POPOLARE LORENZIN;19;;
SANT'ANASTASIA;MICERA MASSIMO;LIBERI E UGUALI;220;;
SANT'ANASTASIA;MADDALONI MARIO;POTERE AL POPOLO!;172;;
SANT'ANASTASIA;GARGIULO ADELE;CASAPOUND ITALIA;86;;
SANT'ANASTASIA;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;60;;
SANT'ANASTASIA;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;49;;
SANT'ANASTASIA;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;18;;
SANT'ANASTASIA;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
SOMMA VESUVIANA;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;10267;;
SOMMA VESUVIANA;RUSSO ELISA;FORZA ITALIA;3345;;
SOMMA VESUVIANA;;NOI CON L'ITALIA - UDC;709;;
SOMMA VESUVIANA;;LEGA;421;;
SOMMA VESUVIANA;;FRATELLI D'ITALIA CON GIORGIA MELONI;277;;
SOMMA VESUVIANA;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;1710;;
SOMMA VESUVIANA;;ITALIA EUROPA INSIEME;210;;
SOMMA VESUVIANA;;+EUROPA;120;;
SOMMA VESUVIANA;;CIVICA POPOLARE LORENZIN;40;;
SOMMA VESUVIANA;MICERA MASSIMO;LIBERI E UGUALI;356;;
SOMMA VESUVIANA;MADDALONI MARIO;POTERE AL POPOLO!;188;;
SOMMA VESUVIANA;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;74;;
SOMMA VESUVIANA;GARGIULO ADELE;CASAPOUND ITALIA;76;;
SOMMA VESUVIANA;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;43;;
SOMMA VESUVIANA;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;19;;
SOMMA VESUVIANA;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;15;;
