

Ente;Candidato;Liste/Gruppi;Voti lista;;
COMIZIANO;;CIVICA POPOLARE LORENZIN;7;;
COMIZIANO;;+EUROPA;5;;
COMIZIANO;;ITALIA EUROPA INSIEME;1;;
COMIZIANO;MONTANINO NICOLA;LIBERI E UGUALI;43;;
COMIZIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;14;;
COMIZIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;8;;
COMIZIANO;PETROCCO GERMANA;CASAPOUND ITALIA;5;;
COMIZIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
COMIZIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;1;;
COMIZIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
LIVERI;CESA LORENZO;FORZA ITALIA;231;;
LIVERI;;FRATELLI D'ITALIA CON GIORGIA MELONI;57;;
LIVERI;;NOI CON L'ITALIA - UDC;33;;
LIVERI;;LEGA;29;;
LIVERI;NAPPI SILVANA;MOVIMENTO 5 STELLE;346;;
LIVERI;MANZI ANDREA;PARTITO DEMOCRATICO;87;;
LIVERI;;ITALIA EUROPA INSIEME;16;;
LIVERI;;+EUROPA;6;;
LIVERI;;CIVICA POPOLARE LORENZIN;0;;
LIVERI;MONTANINO NICOLA;LIBERI E UGUALI;23;;
LIVERI;TURCHETTI FRANCESCO;POTERE AL POPOLO!;16;;
LIVERI;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;5;;
LIVERI;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;4;;
LIVERI;PETROCCO GERMANA;CASAPOUND ITALIA;1;;
LIVERI;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
LIVERI;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
NOLA;NAPPI SILVANA;MOVIMENTO 5 STELLE;8259;;
NOLA;CESA LORENZO;FORZA ITALIA;4494;;
NOLA;;NOI CON L'ITALIA - UDC;1051;;
NOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;634;;
NOLA;;LEGA;524;;
NOLA;MANZI ANDREA;PARTITO DEMOCRATICO;2258;;
NOLA;;+EUROPA;169;;
NOLA;;ITALIA EUROPA INSIEME;54;;
NOLA;;CIVICA POPOLARE LORENZIN;53;;
NOLA;MONTANINO NICOLA;LIBERI E UGUALI;381;;
NOLA;TURCHETTI FRANCESCO;POTERE AL POPOLO!;243;;
NOLA;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;210;;
NOLA;PETROCCO GERMANA;CASAPOUND ITALIA;111;;
NOLA;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;105;;
NOLA;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;42;;
NOLA;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;30;;
OTTAVIANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;6171;;
OTTAVIANO;CESA LORENZO;FORZA ITALIA;3118;;
OTTAVIANO;;NOI CON L'ITALIA - UDC;464;;
OTTAVIANO;;LEGA;390;;
OTTAVIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;284;;
OTTAVIANO;MANZI ANDREA;PARTITO DEMOCRATICO;1228;;
OTTAVIANO;;+EUROPA;87;;
OTTAVIANO;;CIVICA POPOLARE LORENZIN;14;;
OTTAVIANO;;ITALIA EUROPA INSIEME;11;;
OTTAVIANO;MONTANINO NICOLA;LIBERI E UGUALI;195;;
OTTAVIANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;112;;
OTTAVIANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;79;;
OTTAVIANO;PETROCCO GERMANA;CASAPOUND ITALIA;56;;
OTTAVIANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;46;;
OTTAVIANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;16;;
OTTAVIANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;13;;
PALMA CAMPANIA;NAPPI SILVANA;MOVIMENTO 5 STELLE;3137;;
PALMA CAMPANIA;CESA LORENZO;FORZA ITALIA;2085;;
PALMA CAMPANIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;340;;
PALMA CAMPANIA;;LEGA;242;;
PALMA CAMPANIA;;NOI CON L'ITALIA - UDC;138;;
PALMA CAMPANIA;MONTANINO NICOLA;LIBERI E UGUALI;1230;;
PALMA CAMPANIA;MANZI ANDREA;PARTITO DEMOCRATICO;630;;
PALMA CAMPANIA;;+EUROPA;46;;
PALMA CAMPANIA;;ITALIA EUROPA INSIEME;17;;
PALMA CAMPANIA;;CIVICA POPOLARE LORENZIN;13;;
PALMA CAMPANIA;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;43;;
PALMA CAMPANIA;PETROCCO GERMANA;CASAPOUND ITALIA;42;;
PALMA CAMPANIA;TURCHETTI FRANCESCO;POTERE AL POPOLO!;39;;
PALMA CAMPANIA;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;13;;
PALMA CAMPANIA;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;12;;
PALMA CAMPANIA;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
POGGIOMARINO;NAPPI SILVANA;MOVIMENTO 5 STELLE;4917;;
POGGIOMARINO;CESA LORENZO;FORZA ITALIA;2900;;
POGGIOMARINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;345;;
POGGIOMARINO;;LEGA;326;;
POGGIOMARINO;;NOI CON L'ITALIA - UDC;319;;
POGGIOMARINO;MANZI ANDREA;PARTITO DEMOCRATICO;1001;;
POGGIOMARINO;;+EUROPA;70;;
POGGIOMARINO;;CIVICA POPOLARE LORENZIN;20;;
POGGIOMARINO;;ITALIA EUROPA INSIEME;16;;
POGGIOMARINO;MONTANINO NICOLA;LIBERI E UGUALI;154;;
POGGIOMARINO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;78;;
