

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
ALTAVILLA SILENTINA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;92;;
ALTAVILLA SILENTINA;;;DAVVERO-VERDI;36;;
ALTAVILLA SILENTINA;;;UNIONE DI CENTRO;36;;
ALTAVILLA SILENTINA;;;CAMPANIA IN RETE;20;;
ALTAVILLA SILENTINA;;;ITALIA DEI VALORI;11;;
ALTAVILLA SILENTINA;CALDORO STEFANO;;;;;787
ALTAVILLA SILENTINA;;;FORZA ITALIA;398;;
ALTAVILLA SILENTINA;;;CALDORO PRESIDENTE;174;;
ALTAVILLA SILENTINA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;105;;
ALTAVILLA SILENTINA;;;POPOLARI PER L'ITALIA;55;;
ALTAVILLA SILENTINA;;;NCD - CAMPANIA POPOLARE;28;;
ALTAVILLA SILENTINA;;;MAI PIU' LA TERRA DEI FUOCHI;10;;
ALTAVILLA SILENTINA;;;NOI SUD;7;;
ALTAVILLA SILENTINA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
ALTAVILLA SILENTINA;CIARAMBINO VALERIA;;;;;414
ALTAVILLA SILENTINA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;409;;
ALTAVILLA SILENTINA;VOZZA SALVATORE;;;;;44
ALTAVILLA SILENTINA;;;SINISTRA AL LAVORO;50;;
ALTAVILLA SILENTINA;ESPOSITO MARCO;;;;;3
ALTAVILLA SILENTINA;;;MO! LISTA CIVICA CAMPANIA;1;;
AMALFI;DE LUCA VINCENZO;;;;;1945
AMALFI;;;DE LUCA PRESIDENTE;742;;
AMALFI;;;PARTITO DEMOCRATICO;418;;
AMALFI;;;CAMPANIA LIBERA;275;;
AMALFI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;143;;
AMALFI;;;PARTITO SOCIALISTA ITALIANO;76;;
AMALFI;;;ITALIA DEI VALORI;28;;
AMALFI;;;DAVVERO-VERDI;23;;
AMALFI;;;UNIONE DI CENTRO;17;;
AMALFI;;;CAMPANIA IN RETE;13;;
AMALFI;CALDORO STEFANO;;;;;882
AMALFI;;;CALDORO PRESIDENTE;352;;
AMALFI;;;FORZA ITALIA;255;;
AMALFI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;141;;
AMALFI;;;NCD - CAMPANIA POPOLARE;57;;
AMALFI;;;POPOLARI PER L'ITALIA;15;;
AMALFI;;;NOI SUD;14;;
AMALFI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;8;;
AMALFI;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
AMALFI;CIARAMBINO VALERIA;;;;;281
AMALFI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;274;;
AMALFI;VOZZA SALVATORE;;;;;42
AMALFI;;;SINISTRA AL LAVORO;46;;
AMALFI;ESPOSITO MARCO;;;;;2
AMALFI;;;MO! LISTA CIVICA CAMPANIA;4;;
ANGRI;DE LUCA VINCENZO;;;;;8568
ANGRI;;;PARTITO SOCIALISTA ITALIANO;2594;;
ANGRI;;;PARTITO DEMOCRATICO;2079;;
ANGRI;;;DE LUCA PRESIDENTE;1210;;
ANGRI;;;CAMPANIA LIBERA;351;;
ANGRI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;280;;
ANGRI;;;UNIONE DI CENTRO;228;;
ANGRI;;;ITALIA DEI VALORI;122;;
ANGRI;;;CAMPANIA IN RETE;114;;
ANGRI;;;DAVVERO-VERDI;77;;
ANGRI;CALDORO STEFANO;;;;;8283
ANGRI;;;FORZA ITALIA;3284;;
ANGRI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3223;;
ANGRI;;;CALDORO PRESIDENTE;742;;
ANGRI;;;NCD - CAMPANIA POPOLARE;543;;
ANGRI;;;NOI SUD;212;;
ANGRI;;;POPOLARI PER L'ITALIA;35;;
ANGRI;;;MAI PIU' LA TERRA DEI FUOCHI;33;;
ANGRI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;25;;
ANGRI;CIARAMBINO VALERIA;;;;;2528
ANGRI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1997;;
ANGRI;VOZZA SALVATORE;;;;;304
ANGRI;;;SINISTRA AL LAVORO;296;;
ANGRI;ESPOSITO MARCO;;;;;98
ANGRI;;;MO! LISTA CIVICA CAMPANIA;61;;
AQUARA;DE LUCA VINCENZO;;;;;440
AQUARA;;;CAMPANIA LIBERA;113;;
AQUARA;;;PARTITO DEMOCRATICO;102;;
AQUARA;;;DE LUCA PRESIDENTE;60;;
AQUARA;;;UNIONE DI CENTRO;48;;
AQUARA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;35;;
AQUARA;;;PARTITO SOCIALISTA ITALIANO;29;;
AQUARA;;;DAVVERO-VERDI;5;;
AQUARA;;;CAMPANIA IN RETE;1;;
AQUARA;;;ITALIA DEI VALORI;0;;
AQUARA;CALDORO STEFANO;;;;;225
AQUARA;;;FORZA ITALIA;106;;
AQUARA;;;CALDORO PRESIDENTE;80;;
AQUARA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
AQUARA;;;POPOLARI PER L'ITALIA;5;;
AQUARA;;;NCD - CAMPANIA POPOLARE;2;;
AQUARA;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
AQUARA;;;NOI SUD;1;;
AQUARA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
AQUARA;CIARAMBINO VALERIA;;;;;45
AQUARA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;46;;
AQUARA;VOZZA SALVATORE;;;;;22
AQUARA;;;SINISTRA AL LAVORO;18;;
AQUARA;ESPOSITO MARCO;;;;;0
AQUARA;;;MO! LISTA CIVICA CAMPANIA;0;;
ASCEA;DE LUCA VINCENZO;;;;;1111
ASCEA;;;PARTITO DEMOCRATICO;478;;
ASCEA;;;DE LUCA PRESIDENTE;171;;
ASCEA;;;CAMPANIA LIBERA;141;;
ASCEA;;;UNIONE DI CENTRO;111;;
ASCEA;;;PARTITO SOCIALISTA ITALIANO;90;;
ASCEA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;30;;
ASCEA;;;DAVVERO-VERDI;10;;
ASCEA;;;ITALIA DEI VALORI;5;;
ASCEA;;;CAMPANIA IN RETE;3;;
ASCEA;CALDORO STEFANO;;;;;760
ASCEA;;;FORZA ITALIA;445;;
ASCEA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;148;;
ASCEA;;;CALDORO PRESIDENTE;120;;
ASCEA;;;POPOLARI PER L'ITALIA;19;;
ASCEA;;;NCD - CAMPANIA POPOLARE;15;;
ASCEA;;;NOI SUD;8;;
ASCEA;;;MAI PIU' LA TERRA DEI FUOCHI;4;;
ASCEA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ASCEA;CIARAMBINO VALERIA;;;;;207
ASCEA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;204;;
ASCEA;ESPOSITO MARCO;;;;;13
ASCEA;;;MO! LISTA CIVICA CAMPANIA;9;;
ASCEA;VOZZA SALVATORE;;;;;8
ASCEA;;;SINISTRA AL LAVORO;8;;
ATENA LUCANA;DE LUCA VINCENZO;;;;;497
ATENA LUCANA;;;PARTITO DEMOCRATICO;182;;
ATENA LUCANA;;;DAVVERO-VERDI;160;;
ATENA LUCANA;;;DE LUCA PRESIDENTE;47;;
ATENA LUCANA;;;PARTITO SOCIALISTA ITALIANO;46;;
ATENA LUCANA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;25;;
ATENA LUCANA;;;UNIONE DI CENTRO;21;;
ATENA LUCANA;;;CAMPANIA LIBERA;5;;
ATENA LUCANA;;;CAMPANIA IN RETE;1;;
ATENA LUCANA;;;ITALIA DEI VALORI;1;;
ATENA LUCANA;CALDORO STEFANO;;;;;274
ATENA LUCANA;;;FORZA ITALIA;103;;
ATENA LUCANA;;;CALDORO PRESIDENTE;93;;
ATENA LUCANA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;57;;
ATENA LUCANA;;;NCD - CAMPANIA POPOLARE;3;;
ATENA LUCANA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
ATENA LUCANA;;;NOI SUD;2;;
ATENA LUCANA;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
ATENA LUCANA;;;POPOLARI PER L'ITALIA;0;;
ATENA LUCANA;CIARAMBINO VALERIA;;;;;76
ATENA LUCANA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;66;;
ATENA LUCANA;VOZZA SALVATORE;;;;;14
ATENA LUCANA;;;SINISTRA AL LAVORO;15;;
ATENA LUCANA;ESPOSITO MARCO;;;;;4
ATENA LUCANA;;;MO! LISTA CIVICA CAMPANIA;1;;
ATRANI;DE LUCA VINCENZO;;;;;239
ATRANI;;;PARTITO DEMOCRATICO;80;;
ATRANI;;;CAMPANIA LIBERA;67;;
ATRANI;;;DE LUCA PRESIDENTE;61;;
ATRANI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;10;;
ATRANI;;;UNIONE DI CENTRO;3;;
ATRANI;;;PARTITO SOCIALISTA ITALIANO;3;;
ATRANI;;;DAVVERO-VERDI;2;;
ATRANI;;;CAMPANIA IN RETE;1;;
ATRANI;;;ITALIA DEI VALORI;0;;
ATRANI;CALDORO STEFANO;;;;;94
ATRANI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;33;;
ATRANI;;;CALDORO PRESIDENTE;28;;
ATRANI;;;FORZA ITALIA;23;;
ATRANI;;;NOI SUD;4;;
ATRANI;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
ATRANI;;;NCD - CAMPANIA POPOLARE;1;;
ATRANI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
ATRANI;;;POPOLARI PER L'ITALIA;0;;
ATRANI;CIARAMBINO VALERIA;;;;;23
ATRANI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;20;;
ATRANI;VOZZA SALVATORE;;;;;13
ATRANI;;;SINISTRA AL LAVORO;13;;
ATRANI;ESPOSITO MARCO;;;;;1
ATRANI;;;MO! LISTA CIVICA CAMPANIA;2;;
AULETTA;DE LUCA VINCENZO;;;;;645
AULETTA;;;DE LUCA PRESIDENTE;294;;
AULETTA;;;PARTITO DEMOCRATICO;224;;
AULETTA;;;DAVVERO-VERDI;96;;
AULETTA;;;CAMPANIA LIBERA;46;;
AULETTA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;16;;
AULETTA;;;PARTITO SOCIALISTA ITALIANO;8;;
AULETTA;;;UNIONE DI CENTRO;6;;
AULETTA;;;ITALIA DEI VALORI;0;;
AULETTA;;;CAMPANIA IN RETE;0;;
AULETTA;CALDORO STEFANO;;;;;369
AULETTA;;;CALDORO PRESIDENTE;124;;
AULETTA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;80;;
AULETTA;;;FORZA ITALIA;65;;
AULETTA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
AULETTA;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
AULETTA;;;POPOLARI PER L'ITALIA;2;;
AULETTA;;;NCD - CAMPANIA POPOLARE;2;;
AULETTA;;;NOI SUD;1;;
AULETTA;VOZZA SALVATORE;;;;;69
AULETTA;;;SINISTRA AL LAVORO;70;;
AULETTA;CIARAMBINO VALERIA;;;;;44
AULETTA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;32;;
AULETTA;ESPOSITO MARCO;;;;;20
AULETTA;;;MO! LISTA CIVICA CAMPANIA;17;;
BARONISSI;DE LUCA VINCENZO;;;;;5572
BARONISSI;;;PARTITO DEMOCRATICO;2417;;
BARONISSI;;;DE LUCA PRESIDENTE;871;;
BARONISSI;;;CAMPANIA LIBERA;527;;
BARONISSI;;;PARTITO SOCIALISTA ITALIANO;466;;
BARONISSI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;408;;
BARONISSI;;;DAVVERO-VERDI;131;;
BARONISSI;;;UNIONE DI CENTRO;93;;
BARONISSI;;;ITALIA DEI VALORI;37;;
BARONISSI;;;CAMPANIA IN RETE;25;;
BARONISSI;CALDORO STEFANO;;;;;1257
BARONISSI;;;FORZA ITALIA;458;;
