

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
AQUILONIA;;;SINISTRA AL LAVORO;22;;
AQUILONIA;ESPOSITO MARCO;;;;;2
AQUILONIA;;
ARIANO IRPINO;CALDORO STEFANO;;;;;5243
ARIANO IRPINO;;;CALDORO PRESIDENTE;2192;;
ARIANO IRPINO;;;NCD - CAMPANIA POPOLARE;1491;;
ARIANO IRPINO;;;FORZA ITALIA;1216;;
ARIANO IRPINO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;187;;
ARIANO IRPINO;;;POPOLARI PER L'ITALIA;61;;
ARIANO IRPINO;;;NOI SUD;45;;
ARIANO IRPINO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;14;;
ARIANO IRPINO;;;MAI PIU' LA TERRA DEI FUOCHI;11;;
ARIANO IRPINO;DE LUCA VINCENZO;;;;;3721
ARIANO IRPINO;;;PARTITO DEMOCRATICO;1051;;
ARIANO IRPINO;;;ITALIA DEI VALORI;593;;
ARIANO IRPINO;;;DE LUCA PRESIDENTE;475;;
ARIANO IRPINO;;;UNIONE DI CENTRO;333;;
ARIANO IRPINO;;;DAVVERO-VERDI;284;;
ARIANO IRPINO;;;PARTITO SOCIALISTA ITALIANO;277;;
ARIANO IRPINO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;166;;
ARIANO IRPINO;;;CAMPANIA IN RETE;74;;
ARIANO IRPINO;;;CAMPANIA LIBERA;63;;
ARIANO IRPINO;CIARAMBINO VALERIA;;;;;1133
ARIANO IRPINO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;991;;
ARIANO IRPINO;VOZZA SALVATORE;;;;;135
ARIANO IRPINO;;;SINISTRA AL LAVORO;130;;
ARIANO IRPINO;ESPOSITO MARCO;;;;;20
ARIANO IRPINO;;
ATRIPALDA;DE LUCA VINCENZO;;;;;2529
ATRIPALDA;;;PARTITO DEMOCRATICO;829;;
ATRIPALDA;;;DE LUCA PRESIDENTE;559;;
ATRIPALDA;;;DAVVERO-VERDI;243;;
ATRIPALDA;;;PARTITO SOCIALISTA ITALIANO;232;;
ATRIPALDA;;;UNIONE DI CENTRO;179;;
ATRIPALDA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;169;;
ATRIPALDA;;;CAMPANIA IN RETE;51;;
ATRIPALDA;;;CAMPANIA LIBERA;42;;
ATRIPALDA;;;ITALIA DEI VALORI;33;;
ATRIPALDA;CALDORO STEFANO;;;;;1206
ATRIPALDA;;;FORZA ITALIA;520;;
ATRIPALDA;;;NCD - CAMPANIA POPOLARE;266;;
ATRIPALDA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;154;;
ATRIPALDA;;;CALDORO PRESIDENTE;128;;
ATRIPALDA;;;NOI SUD;78;;
ATRIPALDA;;;POPOLARI PER L'ITALIA;27;;
ATRIPALDA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;8;;
ATRIPALDA;;;MAI PIU' LA TERRA DEI FUOCHI;6;;
ATRIPALDA;CIARAMBINO VALERIA;;;;;645
ATRIPALDA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;609;;
ATRIPALDA;VOZZA SALVATORE;;;;;87
ATRIPALDA;;;SINISTRA AL LAVORO;91;;
ATRIPALDA;ESPOSITO MARCO;;;;;11
ATRIPALDA;;
AVELLA;DE LUCA VINCENZO;;;;;2232
AVELLA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;1114;;
AVELLA;;;CAMPANIA LIBERA;419;;
AVELLA;;;DAVVERO-VERDI;269;;
AVELLA;;;PARTITO DEMOCRATICO;202;;
AVELLA;;;DE LUCA PRESIDENTE;169;;
AVELLA;;;UNIONE DI CENTRO;30;;
AVELLA;;;CAMPANIA IN RETE;17;;
AVELLA;;;ITALIA DEI VALORI;14;;
AVELLA;;;PARTITO SOCIALISTA ITALIANO;10;;
AVELLA;CALDORO STEFANO;;;;;1154
AVELLA;;;NCD - CAMPANIA POPOLARE;580;;
AVELLA;;;FORZA ITALIA;233;;
AVELLA;;;CALDORO PRESIDENTE;161;;
AVELLA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;90;;
AVELLA;;;NOI SUD;41;;
AVELLA;;;POPOLARI PER L'ITALIA;11;;
AVELLA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;10;;
AVELLA;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
AVELLA;CIARAMBINO VALERIA;;;;;405
AVELLA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;385;;
AVELLA;VOZZA SALVATORE;;;;;23
AVELLA;;;SINISTRA AL LAVORO;13;;
AVELLA;ESPOSITO MARCO;;;;;5
AVELLA;;
AVELLINO;DE LUCA VINCENZO;;;;;12848
AVELLINO;;;PARTITO DEMOCRATICO;3949;;
AVELLINO;;;DE LUCA PRESIDENTE;3074;;
AVELLINO;;;DAVVERO-VERDI;1782;;
AVELLINO;;;UNIONE DI CENTRO;1456;;
AVELLINO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;773;;
AVELLINO;;;CAMPANIA LIBERA;430;;
AVELLINO;;;CAMPANIA IN RETE;269;;
AVELLINO;;;PARTITO SOCIALISTA ITALIANO;153;;
AVELLINO;;;ITALIA DEI VALORI;65;;
AVELLINO;CALDORO STEFANO;;;;;7026
AVELLINO;;;FORZA ITALIA;3209;;
AVELLINO;;;NCD - CAMPANIA POPOLARE;1382;;
AVELLINO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;928;;
AVELLINO;;;CALDORO PRESIDENTE;813;;
AVELLINO;;;NOI SUD;488;;
AVELLINO;;;POPOLARI PER L'ITALIA;154;;
AVELLINO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;57;;
AVELLINO;;;MAI PIU' LA TERRA DEI FUOCHI;17;;
AVELLINO;CIARAMBINO VALERIA;;;;;3749
AVELLINO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3401;;
AVELLINO;VOZZA SALVATORE;;;;;792
AVELLINO;;;SINISTRA AL LAVORO;690;;
AVELLINO;ESPOSITO MARCO;;;;;73
AVELLINO;;
BAGNOLI IRPINO;DE LUCA VINCENZO;;;;;684
BAGNOLI IRPINO;;;PARTITO DEMOCRATICO;296;;
BAGNOLI IRPINO;;;UNIONE DI CENTRO;118;;
BAGNOLI IRPINO;;;DE LUCA PRESIDENTE;89;;
BAGNOLI IRPINO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;50;;
BAGNOLI IRPINO;;;DAVVERO-VERDI;39;;
BAGNOLI IRPINO;;;CAMPANIA IN RETE;34;;
BAGNOLI IRPINO;;;CAMPANIA LIBERA;18;;
BAGNOLI IRPINO;;;ITALIA DEI VALORI;7;;
BAGNOLI IRPINO;;;PARTITO SOCIALISTA ITALIANO;4;;
BAGNOLI IRPINO;CALDORO STEFANO;;;;;649
BAGNOLI IRPINO;;;CALDORO PRESIDENTE;429;;
BAGNOLI IRPINO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;79;;
BAGNOLI IRPINO;;;FORZA ITALIA;68;;
BAGNOLI IRPINO;;;NCD - CAMPANIA POPOLARE;37;;
BAGNOLI IRPINO;;;NOI SUD;8;;
BAGNOLI IRPINO;;;POPOLARI PER L'ITALIA;2;;
BAGNOLI IRPINO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BAGNOLI IRPINO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
BAGNOLI IRPINO;CIARAMBINO VALERIA;;;;;174
BAGNOLI IRPINO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;165;;
BAGNOLI IRPINO;VOZZA SALVATORE;;;;;52
BAGNOLI IRPINO;;;SINISTRA AL LAVORO;48;;
BAGNOLI IRPINO;ESPOSITO MARCO;;;;;1
BAGNOLI IRPINO;;
BAIANO;CALDORO STEFANO;;;;;973
BAIANO;;;NCD - CAMPANIA POPOLARE;569;;
BAIANO;;;FORZA ITALIA;164;;
BAIANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;132;;
BAIANO;;;CALDORO PRESIDENTE;52;;
BAIANO;;;NOI SUD;38;;
BAIANO;;;POPOLARI PER L'ITALIA;9;;
BAIANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;6;;
BAIANO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BAIANO;DE LUCA VINCENZO;;;;;736
BAIANO;;;PARTITO DEMOCRATICO;343;;
BAIANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;139;;
BAIANO;;;DE LUCA PRESIDENTE;104;;
BAIANO;;;CAMPANIA LIBERA;51;;
BAIANO;;;DAVVERO-VERDI;25;;
BAIANO;;;UNIONE DI CENTRO;23;;
BAIANO;;;ITALIA DEI VALORI;10;;
BAIANO;;;PARTITO SOCIALISTA ITALIANO;7;;
BAIANO;;;CAMPANIA IN RETE;6;;
BAIANO;CIARAMBINO VALERIA;;;;;303
BAIANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;285;;
BAIANO;VOZZA SALVATORE;;;;;44
BAIANO;;;SINISTRA AL LAVORO;44;;
BAIANO;ESPOSITO MARCO;;;;;7
BAIANO;;
BISACCIA;DE LUCA VINCENZO;;;;;657
BISACCIA;;;PARTITO DEMOCRATICO;311;;
BISACCIA;;;DE LUCA PRESIDENTE;170;;
BISACCIA;;;UNIONE DI CENTRO;61;;
BISACCIA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;36;;
BISACCIA;;;ITALIA DEI VALORI;14;;
BISACCIA;;;DAVVERO-VERDI;8;;
BISACCIA;;;CAMPANIA LIBERA;6;;
BISACCIA;;;CAMPANIA IN RETE;5;;
BISACCIA;;;PARTITO SOCIALISTA ITALIANO;0;;
BISACCIA;CALDORO STEFANO;;;;;330
BISACCIA;;;CALDORO PRESIDENTE;156;;
BISACCIA;;;FORZA ITALIA;81;;
BISACCIA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;65;;
