

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
AVERSA;;;UNIONE DI CENTRO;695;;
AVERSA;;;CAMPANIA IN RETE;316;;
AVERSA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;157;;
AVERSA;;;ITALIA DEI VALORI;64;;
AVERSA;;;PARTITO SOCIALISTA ITALIANO;64;;
AVERSA;;;DAVVERO-VERDI;51;;
AVERSA;CIARAMBINO VALERIA;;;;;3944
AVERSA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3612;;
AVERSA;VOZZA SALVATORE;;;;;337
AVERSA;;;SINISTRA AL LAVORO;350;;
AVERSA;ESPOSITO MARCO;;;;;126
AVERSA;;;MO! LISTA CIVICA CAMPANIA;102;;
BAIA E LATINA;CALDORO STEFANO;;;;;575
BAIA E LATINA;;;FORZA ITALIA;297;;
BAIA E LATINA;;;NCD - CAMPANIA POPOLARE;138;;
BAIA E LATINA;;;CALDORO PRESIDENTE;58;;
BAIA E LATINA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;46;;
BAIA E LATINA;;;POPOLARI PER L'ITALIA;4;;
BAIA E LATINA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;3;;
BAIA E LATINA;;;NOI SUD;3;;
BAIA E LATINA;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
BAIA E LATINA;DE LUCA VINCENZO;;;;;251
BAIA E LATINA;;;PARTITO DEMOCRATICO;158;;
BAIA E LATINA;;;CAMPANIA LIBERA;23;;
BAIA E LATINA;;;CAMPANIA IN RETE;12;;
BAIA E LATINA;;;UNIONE DI CENTRO;11;;
BAIA E LATINA;;;PARTITO SOCIALISTA ITALIANO;8;;
BAIA E LATINA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;6;;
BAIA E LATINA;;;DAVVERO-VERDI;2;;
BAIA E LATINA;;;ITALIA DEI VALORI;0;;
BAIA E LATINA;CIARAMBINO VALERIA;;;;;205
BAIA E LATINA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;192;;
BAIA E LATINA;VOZZA SALVATORE;;;;;18
BAIA E LATINA;;;SINISTRA AL LAVORO;15;;
BAIA E LATINA;ESPOSITO MARCO;;;;;12
