

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
ARPAIA;;;ITALIA DEI VALORI;3;;
ARPAIA;;;CAMPANIA LIBERA;1;;
ARPAIA;CIARAMBINO VALERIA;;;;;164
ARPAIA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;163;;
ARPAIA;VOZZA SALVATORE;;;;;1
ARPAIA;;;SINISTRA AL LAVORO;0;;
ARPAIA;ESPOSITO MARCO;;;;;1
ARPAIA;;
ARPAISE;CALDORO STEFANO;;;;;162
ARPAISE;;;FORZA ITALIA;90;;
ARPAISE;;;NCD - CAMPANIA POPOLARE;61;;
ARPAISE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
ARPAISE;;;CALDORO PRESIDENTE;4;;
ARPAISE;;;NOI SUD;1;;
ARPAISE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ARPAISE;;;POPOLARI PER L'ITALIA;0;;
ARPAISE;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
ARPAISE;DE LUCA VINCENZO;;;;;137
ARPAISE;;;PARTITO DEMOCRATICO;106;;
ARPAISE;;;DE LUCA PRESIDENTE;18;;
ARPAISE;;;ITALIA DEI VALORI;3;;
ARPAISE;;;CAMPANIA IN RETE;2;;
ARPAISE;;;CAMPANIA LIBERA;1;;
ARPAISE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;1;;
ARPAISE;;;DAVVERO-VERDI;1;;
ARPAISE;;;PARTITO SOCIALISTA ITALIANO;0;;
ARPAISE;CIARAMBINO VALERIA;;;;;68
ARPAISE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;67;;
ARPAISE;ESPOSITO MARCO;;;;;15
ARPAISE;;
ARPAISE;VOZZA SALVATORE;;;;;10
ARPAISE;;;SINISTRA AL LAVORO;10;;
BASELICE;DE LUCA VINCENZO;;;;;252
BASELICE;;;PARTITO DEMOCRATICO;149;;
BASELICE;;;ITALIA DEI VALORI;49;;
BASELICE;;;DE LUCA PRESIDENTE;23;;
BASELICE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;4;;
BASELICE;;;CAMPANIA IN RETE;3;;
BASELICE;;;CAMPANIA LIBERA;3;;
BASELICE;;;DAVVERO-VERDI;3;;
BASELICE;;;PARTITO SOCIALISTA ITALIANO;2;;
BASELICE;CIARAMBINO VALERIA;;;;;220
BASELICE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;219;;
BASELICE;CALDORO STEFANO;;;;;171
BASELICE;;;CALDORO PRESIDENTE;99;;
BASELICE;;;FORZA ITALIA;53;;
BASELICE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
BASELICE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;3;;
BASELICE;;;NOI SUD;1;;
BASELICE;;;POPOLARI PER L'ITALIA;0;;
BASELICE;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
BASELICE;;;NCD - CAMPANIA POPOLARE;0;;
BASELICE;ESPOSITO MARCO;;;;;13
BASELICE;;
BASELICE;VOZZA SALVATORE;;;;;3
BASELICE;;;SINISTRA AL LAVORO;7;;
BENEVENTO;DE LUCA VINCENZO;;;;;9955
BENEVENTO;;;PARTITO DEMOCRATICO;4363;;
BENEVENTO;;;DE LUCA PRESIDENTE;3083;;
BENEVENTO;;;ITALIA DEI VALORI;1052;;
BENEVENTO;;;CAMPANIA IN RETE;365;;
BENEVENTO;;;PARTITO SOCIALISTA ITALIANO;338;;
BENEVENTO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;244;;
BENEVENTO;;;CAMPANIA LIBERA;98;;
BENEVENTO;;;DAVVERO-VERDI;45;;
BENEVENTO;CALDORO STEFANO;;;;;6654
BENEVENTO;;;FORZA ITALIA;3647;;
BENEVENTO;;;NCD - CAMPANIA POPOLARE;1164;;
BENEVENTO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;714;;
BENEVENTO;;;CALDORO PRESIDENTE;373;;
BENEVENTO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;93;;
BENEVENTO;;;NOI SUD;42;;
BENEVENTO;;;MAI PIU' LA TERRA DEI FUOCHI;32;;
BENEVENTO;;;POPOLARI PER L'ITALIA;22;;
BENEVENTO;CIARAMBINO VALERIA;;;;;6452
BENEVENTO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;6150;;
BENEVENTO;VOZZA SALVATORE;;;;;446
BENEVENTO;;;SINISTRA AL LAVORO;442;;
BENEVENTO;ESPOSITO MARCO;;;;;67
BENEVENTO;;
BONEA;CALDORO STEFANO;;;;;224
BONEA;;;FORZA ITALIA;120;;
BONEA;;;NCD - CAMPANIA POPOLARE;60;;
BONEA;;;CALDORO PRESIDENTE;16;;
BONEA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
BONEA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;5;;
BONEA;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BONEA;;;NOI SUD;1;;
BONEA;;;POPOLARI PER L'ITALIA;0;;
BONEA;DE LUCA VINCENZO;;;;;152
BONEA;;;PARTITO DEMOCRATICO;117;;
BONEA;;;DE LUCA PRESIDENTE;19;;
BONEA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;3;;
BONEA;;;CAMPANIA IN RETE;2;;
BONEA;;;PARTITO SOCIALISTA ITALIANO;2;;
BONEA;;;ITALIA DEI VALORI;2;;
BONEA;;;CAMPANIA LIBERA;1;;
BONEA;;;DAVVERO-VERDI;0;;
BONEA;CIARAMBINO VALERIA;;;;;82
BONEA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;80;;
BONEA;VOZZA SALVATORE;;;;;11
BONEA;;;SINISTRA AL LAVORO;14;;
BONEA;ESPOSITO MARCO;;;;;0
BONEA;;
BUCCIANO;CALDORO STEFANO;;;;;603
BUCCIANO;;;NCD - CAMPANIA POPOLARE;365;;
BUCCIANO;;;FORZA ITALIA;191;;
BUCCIANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
BUCCIANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;13;;
BUCCIANO;;;CALDORO PRESIDENTE;5;;
BUCCIANO;;;NOI SUD;2;;
BUCCIANO;;;POPOLARI PER L'ITALIA;1;;
BUCCIANO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
BUCCIANO;DE LUCA VINCENZO;;;;;214
BUCCIANO;;;PARTITO DEMOCRATICO;173;;
BUCCIANO;;;DE LUCA PRESIDENTE;12;;
BUCCIANO;;;CAMPANIA IN RETE;5;;
BUCCIANO;;;CAMPANIA LIBERA;5;;
BUCCIANO;;;DAVVERO-VERDI;4;;
BUCCIANO;;;PARTITO SOCIALISTA ITALIANO;3;;
BUCCIANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;1;;
BUCCIANO;;;ITALIA DEI VALORI;0;;
BUCCIANO;CIARAMBINO VALERIA;;;;;125
BUCCIANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;124;;
BUCCIANO;VOZZA SALVATORE;;;;;5
BUCCIANO;;;SINISTRA AL LAVORO;6;;
BUCCIANO;ESPOSITO MARCO;;;;;1
BUCCIANO;;
BUONALBERGO;CALDORO STEFANO;;;;;274
BUONALBERGO;;;FORZA ITALIA;143;;
BUONALBERGO;;;NCD - CAMPANIA POPOLARE;57;;
BUONALBERGO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;47;;
BUONALBERGO;;;CALDORO PRESIDENTE;5;;
BUONALBERGO;;;NOI SUD;3;;
BUONALBERGO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
BUONALBERGO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
BUONALBERGO;;;POPOLARI PER L'ITALIA;0;;
BUONALBERGO;DE LUCA VINCENZO;;;;;215
BUONALBERGO;;;PARTITO DEMOCRATICO;149;;
BUONALBERGO;;;DE LUCA PRESIDENTE;29;;
BUONALBERGO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;8;;
BUONALBERGO;;;ITALIA DEI VALORI;7;;
BUONALBERGO;;;CAMPANIA IN RETE;3;;
BUONALBERGO;;;DAVVERO-VERDI;2;;
BUONALBERGO;;;CAMPANIA LIBERA;1;;
BUONALBERGO;;;PARTITO SOCIALISTA ITALIANO;0;;
BUONALBERGO;CIARAMBINO VALERIA;;;;;85
BUONALBERGO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;87;;
BUONALBERGO;VOZZA SALVATORE;;;;;4
BUONALBERGO;;;SINISTRA AL LAVORO;4;;
BUONALBERGO;ESPOSITO MARCO;;;;;1
BUONALBERGO;;
CALVI;DE LUCA VINCENZO;;;;;672
CALVI;;;PARTITO DEMOCRATICO;203;;
CALVI;;;DE LUCA PRESIDENTE;199;;
CALVI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;140;;
CALVI;;;ITALIA DEI VALORI;55;;
CALVI;;;CAMPANIA IN RETE;20;;
CALVI;;;PARTITO SOCIALISTA ITALIANO;14;;
CALVI;;;CAMPANIA LIBERA;7;;
CALVI;;;DAVVERO-VERDI;6;;
CALVI;CALDORO STEFANO;;;;;552
CALVI;;;FORZA ITALIA;262;;
CALVI;;;NCD - CAMPANIA POPOLARE;145;;
CALVI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;51;;
CALVI;;;CALDORO PRESIDENTE;46;;
CALVI;;;NOI SUD;6;;
CALVI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
CALVI;;;POPOLARI PER L'ITALIA;3;;
CALVI;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
CALVI;CIARAMBINO VALERIA;;;;;265
CALVI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;259;;
CALVI;VOZZA SALVATORE;;;;;24
CALVI;;;SINISTRA AL LAVORO;23;;
CALVI;ESPOSITO MARCO;;;;;2
CALVI;;
CAMPOLATTARO;CALDORO STEFANO;;;;;129
CAMPOLATTARO;;;FORZA ITALIA;78;;
CAMPOLATTARO;;;NCD - CAMPANIA POPOLARE;36;;
CAMPOLATTARO;;;CALDORO PRESIDENTE;6;;
CAMPOLATTARO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
CAMPOLATTARO;;;NOI SUD;3;;
CAMPOLATTARO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
CAMPOLATTARO;;;POPOLARI PER L'ITALIA;0;;
CAMPOLATTARO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
CAMPOLATTARO;DE LUCA VINCENZO;;;;;101
CAMPOLATTARO;;;PARTITO DEMOCRATICO;56;;
CAMPOLATTARO;;;ITALIA DEI VALORI;21;;
CAMPOLATTARO;;;DE LUCA PRESIDENTE;10;;
CAMPOLATTARO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;7;;
CAMPOLATTARO;;;DAVVERO-VERDI;1;;
CAMPOLATTARO;;;CAMPANIA IN RETE;1;;
CAMPOLATTARO;;;CAMPANIA LIBERA;1;;
CAMPOLATTARO;;;PARTITO SOCIALISTA ITALIANO;0;;
CAMPOLATTARO;CIARAMBINO VALERIA;;;;;89
CAMPOLATTARO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;86;;
CAMPOLATTARO;VOZZA SALVATORE;;;;;2
CAMPOLATTARO;;;SINISTRA AL LAVORO;2;;
CAMPOLATTARO;ESPOSITO MARCO;;;;;1
CAMPOLATTARO;;
CAMPOLI DEL MONTE TABURNO;CALDORO STEFANO;;;;;484
CAMPOLI DEL MONTE TABURNO;;;FORZA ITALIA;215;;
CAMPOLI DEL MONTE TABURNO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;179;;
CAMPOLI DEL MONTE TABURNO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;34;;
CAMPOLI DEL MONTE TABURNO;;;NCD - CAMPANIA POPOLARE;21;;
CAMPOLI DEL MONTE TABURNO;;;CALDORO PRESIDENTE;18;;
CAMPOLI DEL MONTE TABURNO;;;NOI SUD;2;;
CAMPOLI DEL MONTE TABURNO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
CAMPOLI DEL MONTE TABURNO;;;POPOLARI PER L'ITALIA;1;;
CAMPOLI DEL MONTE TABURNO;DE LUCA VINCENZO;;;;;258
CAMPOLI DEL MONTE TABURNO;;;PARTITO DEMOCRATICO;155;;
CAMPOLI DEL MONTE TABURNO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;39;;
CAMPOLI DEL MONTE TABURNO;;;DE LUCA PRESIDENTE;33;;
CAMPOLI DEL MONTE TABURNO;;;ITALIA DEI VALORI;14;;
CAMPOLI DEL MONTE TABURNO;;;DAVVERO-VERDI;3;;
CAMPOLI DEL MONTE TABURNO;;;CAMPANIA IN RETE;2;;
CAMPOLI DEL MONTE TABURNO;;;CAMPANIA LIBERA;2;;
CAMPOLI DEL MONTE TABURNO;;;PARTITO SOCIALISTA ITALIANO;2;;
CAMPOLI DEL MONTE TABURNO;CIARAMBINO VALERIA;;;;;151
CAMPOLI DEL MONTE TABURNO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;149;;
CAMPOLI DEL MONTE TABURNO;VOZZA SALVATORE;;;;;7
CAMPOLI DEL MONTE TABURNO;;;SINISTRA AL LAVORO;5;;
CAMPOLI DEL MONTE TABURNO;ESPOSITO MARCO;;;;;0
CAMPOLI DEL MONTE TABURNO;;
CASALDUNI;CALDORO STEFANO;;;;;430
CASALDUNI;;;NCD - CAMPANIA POPOLARE;177;;
CASALDUNI;;;FORZA ITALIA;172;;
CASALDUNI;;;NOI SUD;50;;
CASALDUNI;;;CALDORO PRESIDENTE;10;;
CASALDUNI;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
CASALDUNI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1;;
CASALDUNI;;;POPOLARI PER L'ITALIA;1;;
CASALDUNI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
CASALDUNI;DE LUCA VINCENZO;;;;;237
CASALDUNI;;;PARTITO DEMOCRATICO;196;;
CASALDUNI;;;DE LUCA PRESIDENTE;20;;
CASALDUNI;;;ITALIA DEI VALORI;8;;
CASALDUNI;;;DAVVERO-VERDI;4;;
CASALDUNI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;3;;
CASALDUNI;;;CAMPANIA LIBERA;3;;
CASALDUNI;;;PARTITO SOCIALISTA ITALIANO;3;;
CASALDUNI;;;CAMPANIA IN RETE;1;;
CASALDUNI;CIARAMBINO VALERIA;;;;;42
CASALDUNI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;42;;
CASALDUNI;VOZZA SALVATORE;;;;;3
CASALDUNI;;;SINISTRA AL LAVORO;3;;
CASALDUNI;ESPOSITO MARCO;;;;;0
CASALDUNI;;
CASTELFRANCO IN MISCANO;DE LUCA VINCENZO;;;;;249
CASTELFRANCO IN MISCANO;;;PARTITO DEMOCRATICO;133;;
CASTELFRANCO IN MISCANO;;;DE LUCA PRESIDENTE;50;;
CASTELFRANCO IN MISCANO;;;ITALIA DEI VALORI;21;;
CASTELFRANCO IN MISCANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;17;;
CASTELFRANCO IN MISCANO;;;CAMPANIA IN RETE;7;;
CASTELFRANCO IN MISCANO;;;CAMPANIA LIBERA;4;;
CASTELFRANCO IN MISCANO;;;PARTITO SOCIALISTA ITALIANO;3;;
CASTELFRANCO IN MISCANO;;;DAVVERO-VERDI;1;;
CASTELFRANCO IN MISCANO;CALDORO STEFANO;;;;;231
CASTELFRANCO IN MISCANO;;;FORZA ITALIA;158;;
CASTELFRANCO IN MISCANO;;;NCD - CAMPANIA POPOLARE;27;;
CASTELFRANCO IN MISCANO;;;CALDORO PRESIDENTE;19;;
CASTELFRANCO IN MISCANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
