

Ente;Candidato;Liste/Gruppi;Voti lista;;
CASALUCE;DI FOGGIA ANGELA;POTERE AL POPOLO!;18;;
CASALUCE;VOTA ANNA;CASAPOUND ITALIA;11;;
CASALUCE;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;9;;
CASALUCE;PAOLUCCI LUCA;PARTITO COMUNISTA;8;;
CASALUCE;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
CASALUCE;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
CASALUCE;GUIDO ANIELLO;PARTITO VALORE UMANO;1;;
CASAPESENNA;CASTIELLO GIUSEPPINA;FORZA ITALIA;1099;;
CASAPESENNA;;FRATELLI D'ITALIA CON GIORGIA MELONI;174;;
CASAPESENNA;;LEGA;159;;
CASAPESENNA;;NOI CON L'ITALIA - UDC;34;;
CASAPESENNA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;1114;;
CASAPESENNA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;608;;
CASAPESENNA;;CIVICA POPOLARE LORENZIN;37;;
CASAPESENNA;;+EUROPA;7;;
CASAPESENNA;;ITALIA EUROPA INSIEME;6;;
CASAPESENNA;CORVINO CARLO;LIBERI E UGUALI;92;;
CASAPESENNA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;18;;
CASAPESENNA;DI FOGGIA ANGELA;POTERE AL POPOLO!;16;;
CASAPESENNA;VOTA ANNA;CASAPOUND ITALIA;10;;
CASAPESENNA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;9;;
CASAPESENNA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
CASAPESENNA;PAOLUCCI LUCA;PARTITO COMUNISTA;2;;
CASAPESENNA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
CASAPESENNA;GUIDO ANIELLO;PARTITO VALORE UMANO;1;;
CASTEL VOLTURNO;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;4416;;
CASTEL VOLTURNO;CASTIELLO GIUSEPPINA;FORZA ITALIA;2359;;
CASTEL VOLTURNO;;LEGA;790;;
CASTEL VOLTURNO;;FRATELLI D'ITALIA CON GIORGIA MELONI;379;;
CASTEL VOLTURNO;;NOI CON L'ITALIA - UDC;81;;
CASTEL VOLTURNO;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;623;;
CASTEL VOLTURNO;;CIVICA POPOLARE LORENZIN;40;;
CASTEL VOLTURNO;;+EUROPA;31;;
CASTEL VOLTURNO;;ITALIA EUROPA INSIEME;11;;
CASTEL VOLTURNO;CORVINO CARLO;LIBERI E UGUALI;158;;
CASTEL VOLTURNO;DI FOGGIA ANGELA;POTERE AL POPOLO!;89;;
CASTEL VOLTURNO;BRUNO PASQUALE;ITALIA AGLI ITALIANI;54;;
CASTEL VOLTURNO;VOTA ANNA;CASAPOUND ITALIA;41;;
CASTEL VOLTURNO;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;36;;
CASTEL VOLTURNO;PAOLUCCI LUCA;PARTITO COMUNISTA;20;;
CASTEL VOLTURNO;GUIDO ANIELLO;PARTITO VALORE UMANO;12;;
CASTEL VOLTURNO;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
CASTEL VOLTURNO;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;6;;
CESA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;2726;;
CESA;CASTIELLO GIUSEPPINA;FORZA ITALIA;689;;
CESA;;LEGA;119;;
CESA;;FRATELLI D'ITALIA CON GIORGIA MELONI;116;;
CESA;;NOI CON L'ITALIA - UDC;20;;
CESA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;363;;
CESA;;ITALIA EUROPA INSIEME;89;;
CESA;;+EUROPA;30;;
CESA;;CIVICA POPOLARE LORENZIN;15;;
CESA;CORVINO CARLO;LIBERI E UGUALI;53;;
CESA;DI FOGGIA ANGELA;POTERE AL POPOLO!;35;;
CESA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;23;;
CESA;VOTA ANNA;CASAPOUND ITALIA;16;;
CESA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;10;;
CESA;PAOLUCCI LUCA;PARTITO COMUNISTA;11;;
CESA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;4;;
CESA;GUIDO ANIELLO;PARTITO VALORE UMANO;3;;
CESA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
FRANCOLISE;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;1101;;
FRANCOLISE;CASTIELLO GIUSEPPINA;FORZA ITALIA;650;;
FRANCOLISE;;LEGA;280;;
FRANCOLISE;;FRATELLI D'ITALIA CON GIORGIA MELONI;123;;
FRANCOLISE;;NOI CON L'ITALIA - UDC;15;;
FRANCOLISE;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;246;;
FRANCOLISE;;+EUROPA;18;;
FRANCOLISE;;CIVICA POPOLARE LORENZIN;8;;
FRANCOLISE;;ITALIA EUROPA INSIEME;5;;
FRANCOLISE;CORVINO CARLO;LIBERI E UGUALI;29;;
FRANCOLISE;BRUNO PASQUALE;ITALIA AGLI ITALIANI;17;;
FRANCOLISE;DI FOGGIA ANGELA;POTERE AL POPOLO!;13;;
FRANCOLISE;VOTA ANNA;CASAPOUND ITALIA;12;;
FRANCOLISE;PAOLUCCI LUCA;PARTITO COMUNISTA;10;;
