

Ente;Candidato;Liste/Gruppi;Voti lista;;
AULETTA;FERRAIOLI MARZIA;FORZA ITALIA;220;;
AULETTA;;NOI CON L'ITALIA - UDC;94;;
AULETTA;;LEGA;81;;
AULETTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;37;;
AULETTA;D'ALESSANDRO ALESSIA;MOVIMENTO 5 STELLE;408;;
AULETTA;ALFIERI FRANCESCO;PARTITO DEMOCRATICO;204;;
AULETTA;;CIVICA POPOLARE LORENZIN;80;;
AULETTA;;+EUROPA;5;;
AULETTA;;ITALIA EUROPA INSIEME;5;;
AULETTA;GIORDANO LUIGI;LIBERI E UGUALI;71;;
AULETTA;RISPOLI DANIELA;ITALIA AGLI ITALIANI;16;;
AULETTA;ISOLDI FILIPPO;POTERE AL POPOLO!;8;;
AULETTA;VULLO IVANA;PARTITO COMUNISTA;5;;
AULETTA;FOCARILE MICHELINA;IL POPOLO DELLA FAMIGLIA;3;;
AULETTA;FAIELLA VITO;CASAPOUND ITALIA;2;;
AULETTA;COPPOLA ENZO;10 VOLTE MEGLIO;1;;
AULETTA;CAMPOCHIARO BRUNO;PARTITO VALORE UMANO;1;;
AULETTA;RUSSO FEDERICA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
BELLOSGUARDO;ALFIERI FRANCESCO;PARTITO DEMOCRATICO;116;;
BELLOSGUARDO;;+EUROPA;29;;
BELLOSGUARDO;;CIVICA POPOLARE LORENZIN;3;;
BELLOSGUARDO;;ITALIA EUROPA INSIEME;2;;
BELLOSGUARDO;D'ALESSANDRO ALESSIA;MOVIMENTO 5 STELLE;114;;
BELLOSGUARDO;FERRAIOLI MARZIA;FORZA ITALIA;45;;
BELLOSGUARDO;;LEGA;41;;
BELLOSGUARDO;;FRATELLI D'ITALIA CON GIORGIA MELONI;12;;
BELLOSGUARDO;;NOI CON L'ITALIA - UDC;3;;
BELLOSGUARDO;GIORDANO LUIGI;LIBERI E UGUALI;20;;
BELLOSGUARDO;RUSSO FEDERICA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
BELLOSGUARDO;RISPOLI DANIELA;ITALIA AGLI ITALIANI;6;;
BELLOSGUARDO;FAIELLA VITO;CASAPOUND ITALIA;2;;
