Ente;Candidato;Liste/Gruppi;Voti lista
MUGNANO DI NAPOLI;PACELLA SALVATORE;ITALIA AGLI ITALIANI;39
MUGNANO DI NAPOLI;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;17
QUALIANO;MICILLO SALVATORE;MOVIMENTO 5 STELLE;6687
QUALIANO;FELE PALMIRA;FORZA ITALIA;2443
QUALIANO;;NOI CON L'ITALIA - UDC;1073
QUALIANO;;LEGA;388
QUALIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;233
QUALIANO;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;741
QUALIANO;;ITALIA EUROPA INSIEME;86
QUALIANO;;#NOME?;44
QUALIANO;;CIVICA POPOLARE LORENZIN;12
QUALIANO;PALUMBO ARCANGELO;LIBERI E UGUALI;178
QUALIANO;ROMUALDO MAURO;POTERE AL POPOLO!;149
QUALIANO;PACELLA SALVATORE;ITALIA AGLI ITALIANI;71
QUALIANO;CERQUA ANTONIETTA;CASAPOUND ITALIA;58
QUALIANO;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;31
QUALIANO;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;16
SANT'ANTIMO;MICILLO SALVATORE;MOVIMENTO 5 STELLE;8787
SANT'ANTIMO;FELE PALMIRA;FORZA ITALIA;3009
SANT'ANTIMO;;LEGA;464
SANT'ANTIMO;;NOI CON L'ITALIA - UDC;278
SANT'ANTIMO;;FRATELLI D'ITALIA CON GIORGIA MELONI;192
SANT'ANTIMO;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;1572
SANT'ANTIMO;;#NOME?;117
SANT'ANTIMO;;ITALIA EUROPA INSIEME;31
SANT'ANTIMO;;CIVICA POPOLARE LORENZIN;23
SANT'ANTIMO;PALUMBO ARCANGELO;LIBERI E UGUALI;353
SANT'ANTIMO;ROMUALDO MAURO;POTERE AL POPOLO!;145
SANT'ANTIMO;CERQUA ANTONIETTA;CASAPOUND ITALIA;47
SANT'ANTIMO;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;46
SANT'ANTIMO;PACELLA SALVATORE;ITALIA AGLI ITALIANI;36
