

Ente;Candidato;Liste/Gruppi;Voti lista;;
NOCERA INFERIORE;PISAPIA SALVATORE;CASAPOUND ITALIA;102;;
NOCERA INFERIORE;CUOCO MARCO;PARTITO COMUNISTA;93;;
NOCERA INFERIORE;FORTUNATO GIUSEPPE;ITALIA AGLI ITALIANI;90;;
NOCERA INFERIORE;ANNARUMMA RITA;PER UNA SINISTRA RIVOLUZIONARIA;27;;
NOCERA INFERIORE;AURICCHIO MARIA;10 VOLTE MEGLIO;22;;
NOCERA INFERIORE;DEL GAUDIO VINCENZO;PARTITO VALORE UMANO;18;;
NOCERA SUPERIORE;VILLANI VIRGINIA;MOVIMENTO 5 STELLE;6490;;
NOCERA SUPERIORE;CIRIELLI EDMONDO;FRATELLI D'ITALIA CON GIORGIA MELONI;1976;;
NOCERA SUPERIORE;;FORZA ITALIA;1744;;
NOCERA SUPERIORE;;LEGA;436;;
NOCERA SUPERIORE;;NOI CON L'ITALIA - UDC;223;;
NOCERA SUPERIORE;MACCAURO MAURO;PARTITO DEMOCRATICO;1555;;
NOCERA SUPERIORE;;CIVICA POPOLARE LORENZIN;215;;
NOCERA SUPERIORE;;+EUROPA;205;;
NOCERA SUPERIORE;;ITALIA EUROPA INSIEME;56;;
NOCERA SUPERIORE;SQUILLANTE DEA;LIBERI E UGUALI;183;;
NOCERA SUPERIORE;MAIORINO ERMINIA;POTERE AL POPOLO!;139;;
NOCERA SUPERIORE;DE MARTINO BASILIO;IL POPOLO DELLA FAMIGLIA;122;;
NOCERA SUPERIORE;FORTUNATO GIUSEPPE;ITALIA AGLI ITALIANI;63;;
NOCERA SUPERIORE;PISAPIA SALVATORE;CASAPOUND ITALIA;56;;
NOCERA SUPERIORE;CUOCO MARCO;PARTITO COMUNISTA;43;;
NOCERA SUPERIORE;AURICCHIO MARIA;10 VOLTE MEGLIO;23;;
NOCERA SUPERIORE;DEL GAUDIO VINCENZO;PARTITO VALORE UMANO;17;;
NOCERA SUPERIORE;ANNARUMMA RITA;PER UNA SINISTRA RIVOLUZIONARIA;12;;
PAGANI;CIRIELLI EDMONDO;NOI CON L'ITALIA - UDC;4477;;
PAGANI;;FORZA ITALIA;2857;;
PAGANI;;LEGA;499;;
PAGANI;;FRATELLI D'ITALIA CON GIORGIA MELONI;430;;
PAGANI;VILLANI VIRGINIA;MOVIMENTO 5 STELLE;7033;;
PAGANI;MACCAURO MAURO;PARTITO DEMOCRATICO;1994;;
PAGANI;;+EUROPA;161;;
PAGANI;;ITALIA EUROPA INSIEME;54;;
PAGANI;;CIVICA POPOLARE LORENZIN;40;;
PAGANI;SQUILLANTE DEA;LIBERI E UGUALI;282;;
PAGANI;MAIORINO ERMINIA;POTERE AL POPOLO!;127;;
PAGANI;FORTUNATO GIUSEPPE;ITALIA AGLI ITALIANI;91;;
PAGANI;DE MARTINO BASILIO;IL POPOLO DELLA FAMIGLIA;57;;
PAGANI;PISAPIA SALVATORE;CASAPOUND ITALIA;48;;
PAGANI;CUOCO MARCO;PARTITO COMUNISTA;32;;
PAGANI;ANNARUMMA RITA;PER UNA SINISTRA RIVOLUZIONARIA;10;;
PAGANI;DEL GAUDIO VINCENZO;PARTITO VALORE UMANO;7;;
PAGANI;AURICCHIO MARIA;10 VOLTE MEGLIO;3;;
ROCCAPIEMONTE;VILLANI VIRGINIA;MOVIMENTO 5 STELLE;2139;;
ROCCAPIEMONTE;CIRIELLI EDMONDO;FORZA ITALIA;910;;
ROCCAPIEMONTE;;FRATELLI D'ITALIA CON GIORGIA MELONI;390;;
ROCCAPIEMONTE;;LEGA;221;;
ROCCAPIEMONTE;;NOI CON L'ITALIA - UDC;83;;
ROCCAPIEMONTE;MACCAURO MAURO;PARTITO DEMOCRATICO;602;;
ROCCAPIEMONTE;;CIVICA POPOLARE LORENZIN;147;;
ROCCAPIEMONTE;;+EUROPA;97;;
ROCCAPIEMONTE;;ITALIA EUROPA INSIEME;14;;
ROCCAPIEMONTE;SQUILLANTE DEA;LIBERI E UGUALI;123;;
ROCCAPIEMONTE;MAIORINO ERMINIA;POTERE AL POPOLO!;53;;
ROCCAPIEMONTE;PISAPIA SALVATORE;CASAPOUND ITALIA;32;;
ROCCAPIEMONTE;DE MARTINO BASILIO;IL POPOLO DELLA FAMIGLIA;31;;
ROCCAPIEMONTE;CUOCO MARCO;PARTITO COMUNISTA;25;;
ROCCAPIEMONTE;FORTUNATO GIUSEPPE;ITALIA AGLI ITALIANI;23;;
ROCCAPIEMONTE;DEL GAUDIO VINCENZO;PARTITO VALORE UMANO;15;;
ROCCAPIEMONTE;ANNARUMMA RITA;PER UNA SINISTRA RIVOLUZIONARIA;9;;
ROCCAPIEMONTE;AURICCHIO MARIA;10 VOLTE MEGLIO;6;;
