

Ente;Candidato;Liste/Gruppi;Voti lista;;
CETARA;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
CONCA DEI MARINI;PROVENZA NICOLA;MOVIMENTO 5 STELLE;137;;
CONCA DEI MARINI;ESPOSITO GENNARO;FORZA ITALIA;77;;
CONCA DEI MARINI;;LEGA;21;;
CONCA DEI MARINI;;FRATELLI D'ITALIA CON GIORGIA MELONI;14;;
CONCA DEI MARINI;;NOI CON L'ITALIA - UDC;7;;
CONCA DEI MARINI;DE LUCA PIERO;PARTITO DEMOCRATICO;66;;
CONCA DEI MARINI;;CIVICA POPOLARE LORENZIN;19;;
CONCA DEI MARINI;;+EUROPA;9;;
CONCA DEI MARINI;;ITALIA EUROPA INSIEME;0;;
CONCA DEI MARINI;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;11;;
CONCA DEI MARINI;ANSALONE CARMINE;LIBERI E UGUALI;3;;
CONCA DEI MARINI;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;3;;
CONCA DEI MARINI;VOTA FRANCESCO;CASAPOUND ITALIA;1;;
CONCA DEI MARINI;GUARINIELLO ANNA;PARTITO VALORE UMANO;1;;
CONCA DEI MARINI;PETRILLO FRANCO;10 VOLTE MEGLIO;0;;
CONCA DEI MARINI;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;0;;
CONCA DEI MARINI;SERGIO ALESSANDRO;PARTITO COMUNISTA;0;;
CONCA DEI MARINI;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
FISCIANO;PROVENZA NICOLA;MOVIMENTO 5 STELLE;2974;;
FISCIANO;DE LUCA PIERO;PARTITO DEMOCRATICO;1978;;
FISCIANO;;+EUROPA;149;;
FISCIANO;;ITALIA EUROPA INSIEME;60;;
FISCIANO;;CIVICA POPOLARE LORENZIN;21;;
FISCIANO;ESPOSITO GENNARO;FORZA ITALIA;1003;;
FISCIANO;;LEGA;358;;
FISCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;297;;
FISCIANO;;NOI CON L'ITALIA - UDC;58;;
FISCIANO;ANSALONE CARMINE;LIBERI E UGUALI;340;;
FISCIANO;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;62;;
FISCIANO;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;47;;
FISCIANO;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;39;;
FISCIANO;SERGIO ALESSANDRO;PARTITO COMUNISTA;36;;
FISCIANO;VOTA FRANCESCO;CASAPOUND ITALIA;24;;
FISCIANO;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;9;;
FISCIANO;PETRILLO FRANCO;10 VOLTE MEGLIO;6;;
FISCIANO;GUARINIELLO ANNA;PARTITO VALORE UMANO;6;;
FURORE;ESPOSITO GENNARO;FORZA ITALIA;100;;
FURORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;42;;
FURORE;;LEGA;12;;
FURORE;;NOI CON L'ITALIA - UDC;8;;
FURORE;PROVENZA NICOLA;MOVIMENTO 5 STELLE;153;;
FURORE;DE LUCA PIERO;PARTITO DEMOCRATICO;60;;
FURORE;;+EUROPA;5;;
FURORE;;ITALIA EUROPA INSIEME;1;;
FURORE;;CIVICA POPOLARE LORENZIN;0;;
