

Ente;Candidato;Liste/Gruppi;Voti lista;;
AVELLINO;DELLA PIA ANTONIO;POTERE AL POPOLO!;682;;
AVELLINO;BELLO GIULIANO;CASAPOUND ITALIA;264;;
AVELLINO;CARBONELLI CATIA LIDIA;PARTITO COMUNISTA;122;;
AVELLINO;GILIBERTI MICHELE ANTONIO;ITALIA AGLI ITALIANI;97;;
AVELLINO;MARCOCCI GIANCARLO;IL POPOLO DELLA FAMIGLIA;75;;
AVELLINO;BLASI GENNARO;PARTITO VALORE UMANO;48;;
AVELLINO;COVIELLO GIAMMARCO;10 VOLTE MEGLIO;37;;
AVELLINO;GODANO GIULIA;LISTA DEL POPOLO PER LA COSTITUZIONE;20;;
BAIANO;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;1180;;
BAIANO;FOGLIA PIETRO;FORZA ITALIA;608;;
BAIANO;;LEGA;126;;
BAIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;94;;
BAIANO;;NOI CON L'ITALIA - UDC;76;;
BAIANO;D'AGOSTINO ANGELO ANTONIO;PARTITO DEMOCRATICO;376;;
BAIANO;;+EUROPA;30;;
BAIANO;;ITALIA EUROPA INSIEME;14;;
BAIANO;;CIVICA POPOLARE LORENZIN;10;;
BAIANO;PASCALE ANNAMARIA;LIBERI E UGUALI;56;;
BAIANO;DELLA PIA ANTONIO;POTERE AL POPOLO!;22;;
BAIANO;BELLO GIULIANO;CASAPOUND ITALIA;11;;
BAIANO;GILIBERTI MICHELE ANTONIO;ITALIA AGLI ITALIANI;7;;
BAIANO;BLASI GENNARO;PARTITO VALORE UMANO;5;;
BAIANO;CARBONELLI CATIA LIDIA;PARTITO COMUNISTA;4;;
BAIANO;MARCOCCI GIANCARLO;IL POPOLO DELLA FAMIGLIA;2;;
BAIANO;GODANO GIULIA;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
BAIANO;COVIELLO GIAMMARCO;10 VOLTE MEGLIO;0;;
CANDIDA;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;294;;
CANDIDA;D'AGOSTINO ANGELO ANTONIO;ITALIA EUROPA INSIEME;151;;
CANDIDA;;PARTITO DEMOCRATICO;79;;
CANDIDA;;+EUROPA;3;;
CANDIDA;;CIVICA POPOLARE LORENZIN;1;;
CANDIDA;FOGLIA PIETRO;FORZA ITALIA;42;;
CANDIDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;24;;
CANDIDA;;LEGA;18;;
CANDIDA;;NOI CON L'ITALIA - UDC;3;;
CANDIDA;PASCALE ANNAMARIA;LIBERI E UGUALI;7;;
CANDIDA;DELLA PIA ANTONIO;POTERE AL POPOLO!;5;;
CANDIDA;BELLO GIULIANO;CASAPOUND ITALIA;4;;
CANDIDA;GILIBERTI MICHELE ANTONIO;ITALIA AGLI ITALIANI;4;;
CANDIDA;BLASI GENNARO;PARTITO VALORE UMANO;3;;
CANDIDA;GODANO GIULIA;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
CANDIDA;CARBONELLI CATIA LIDIA;PARTITO COMUNISTA;2;;
CANDIDA;MARCOCCI GIANCARLO;IL POPOLO DELLA FAMIGLIA;1;;
CANDIDA;COVIELLO GIAMMARCO;10 VOLTE MEGLIO;0;;
CAPRIGLIA IRPINA;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;602;;
CAPRIGLIA IRPINA;FOGLIA PIETRO;FORZA ITALIA;197;;
CAPRIGLIA IRPINA;;FRATELLI D'ITALIA CON GIORGIA MELONI;125;;
CAPRIGLIA IRPINA;;LEGA;84;;
CAPRIGLIA IRPINA;;NOI CON L'ITALIA - UDC;18;;
CAPRIGLIA IRPINA;D'AGOSTINO ANGELO ANTONIO;PARTITO DEMOCRATICO;198;;
CAPRIGLIA IRPINA;;CIVICA POPOLARE LORENZIN;30;;
CAPRIGLIA IRPINA;;ITALIA EUROPA INSIEME;20;;
CAPRIGLIA IRPINA;;+EUROPA;17;;
CAPRIGLIA IRPINA;PASCALE ANNAMARIA;LIBERI E UGUALI;31;;
CAPRIGLIA IRPINA;DELLA PIA ANTONIO;POTERE AL POPOLO!;17;;
CAPRIGLIA IRPINA;GILIBERTI MICHELE ANTONIO;ITALIA AGLI ITALIANI;11;;
CAPRIGLIA IRPINA;CARBONELLI CATIA LIDIA;PARTITO COMUNISTA;9;;
CAPRIGLIA IRPINA;BELLO GIULIANO;CASAPOUND ITALIA;7;;
CAPRIGLIA IRPINA;MARCOCCI GIANCARLO;IL POPOLO DELLA FAMIGLIA;2;;
CAPRIGLIA IRPINA;GODANO GIULIA;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
CAPRIGLIA IRPINA;BLASI GENNARO;PARTITO VALORE UMANO;1;;
CAPRIGLIA IRPINA;COVIELLO GIAMMARCO;10 VOLTE MEGLIO;0;;
CERVINARA;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;2309;;
CERVINARA;FOGLIA PIETRO;FORZA ITALIA;1026;;
CERVINARA;;LEGA;359;;
CERVINARA;;FRATELLI D'ITALIA CON GIORGIA MELONI;174;;
CERVINARA;;NOI CON L'ITALIA - UDC;34;;
