

Ente;Liste/Gruppi;Voti;
BENEVENTO;FORZA NUOVA;24;;
BONEA;PARTITO DEMOCRATICO;128;;
BONEA;FORZA ITALIA;127;;
BONEA;MOVIMENTO 5 STELLE;120;;
BONEA;LEGA SALVINI PREMIER;114;;
BONEA;FRATELLI D'ITALIA;41;;
BONEA;POPOLARI PER L'ITALIA;13;;
BONEA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;9;;
BONEA;CASAPOUND ITALIA - DESTRE UNITE;9;;
BONEA;LA SINISTRA;9;;
BONEA;PARTITO COMUNISTA;4;;
BONEA;EUROPA VERDE;3;;
BONEA;FORZA NUOVA;1;;
BONEA;PARTITO ANIMALISTA;1;;
BONEA;PARTITO PIRATA;0;;
BONEA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
BUCCIANO;FRATELLI D'ITALIA;287;;
BUCCIANO;MOVIMENTO 5 STELLE;198;;
BUCCIANO;LEGA SALVINI PREMIER;180;;
BUCCIANO;FORZA ITALIA;148;;
BUCCIANO;PARTITO DEMOCRATICO;122;;
BUCCIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;9;;
BUCCIANO;EUROPA VERDE;3;;
BUCCIANO;PARTITO PIRATA;3;;
BUCCIANO;PARTITO COMUNISTA;3;;
BUCCIANO;LA SINISTRA;3;;
BUCCIANO;POPOLARI PER L'ITALIA;2;;
BUCCIANO;PARTITO ANIMALISTA;1;;
BUCCIANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
BUCCIANO;FORZA NUOVA;0;;
BUCCIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
BUONALBERGO;LEGA SALVINI PREMIER;219;;
BUONALBERGO;PARTITO DEMOCRATICO;173;;
BUONALBERGO;MOVIMENTO 5 STELLE;156;;
BUONALBERGO;FORZA ITALIA;71;;
BUONALBERGO;FRATELLI D'ITALIA;46;;
BUONALBERGO;LA SINISTRA;10;;
BUONALBERGO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
BUONALBERGO;PARTITO PIRATA;4;;
BUONALBERGO;EUROPA VERDE;3;;
BUONALBERGO;PARTITO ANIMALISTA;2;;
BUONALBERGO;PARTITO COMUNISTA;2;;
BUONALBERGO;FORZA NUOVA;1;;
BUONALBERGO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
BUONALBERGO;POPOLARI PER L'ITALIA;0;;
BUONALBERGO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CALVI;LEGA SALVINI PREMIER;359;;
CALVI;MOVIMENTO 5 STELLE;274;;
CALVI;FORZA ITALIA;251;;
CALVI;PARTITO DEMOCRATICO;134;;
CALVI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;37;;
CALVI;FRATELLI D'ITALIA;36;;
CALVI;LA SINISTRA;19;;
CALVI;EUROPA VERDE;17;;
CALVI;POPOLARI PER L'ITALIA;15;;
CALVI;PARTITO COMUNISTA;6;;
CALVI;CASAPOUND ITALIA - DESTRE UNITE;5;;
CALVI;PARTITO ANIMALISTA;5;;
CALVI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
CALVI;FORZA NUOVA;1;;
CALVI;PARTITO PIRATA;0;;
CAMPOLATTARO;LEGA SALVINI PREMIER;117;;
CAMPOLATTARO;MOVIMENTO 5 STELLE;115;;
CAMPOLATTARO;PARTITO DEMOCRATICO;58;;
CAMPOLATTARO;FORZA ITALIA;34;;
CAMPOLATTARO;FRATELLI D'ITALIA;23;;
CAMPOLATTARO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;8;;
CAMPOLATTARO;LA SINISTRA;6;;
CAMPOLATTARO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CAMPOLATTARO;CASAPOUND ITALIA - DESTRE UNITE;1;;
CAMPOLATTARO;PARTITO PIRATA;1;;
CAMPOLATTARO;PARTITO ANIMALISTA;1;;
CAMPOLATTARO;PARTITO COMUNISTA;0;;
CAMPOLATTARO;EUROPA VERDE;0;;
CAMPOLATTARO;POPOLARI PER L'ITALIA;0;;
CAMPOLATTARO;FORZA NUOVA;0;;
CAMPOLI DEL MONTE TABURNO;MOVIMENTO 5 STELLE;204;;
CAMPOLI DEL MONTE TABURNO;LEGA SALVINI PREMIER;179;;
CAMPOLI DEL MONTE TABURNO;FORZA ITALIA;149;;
CAMPOLI DEL MONTE TABURNO;PARTITO DEMOCRATICO;107;;
CAMPOLI DEL MONTE TABURNO;FRATELLI D'ITALIA;17;;
CAMPOLI DEL MONTE TABURNO;EUROPA VERDE;11;;
CAMPOLI DEL MONTE TABURNO;PARTITO COMUNISTA;6;;
CAMPOLI DEL MONTE TABURNO;LA SINISTRA;6;;
CAMPOLI DEL MONTE TABURNO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;5;;
CAMPOLI DEL MONTE TABURNO;POPOLARI PER L'ITALIA;1;;
CAMPOLI DEL MONTE TABURNO;CASAPOUND ITALIA - DESTRE UNITE;1;;
CAMPOLI DEL MONTE TABURNO;PARTITO PIRATA;0;;
CAMPOLI DEL MONTE TABURNO;FORZA NUOVA;0;;
CAMPOLI DEL MONTE TABURNO;PARTITO ANIMALISTA;0;;
CAMPOLI DEL MONTE TABURNO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASALDUNI;LEGA SALVINI PREMIER;409;;
CASALDUNI;MOVIMENTO 5 STELLE;221;;
CASALDUNI;PARTITO DEMOCRATICO;97;;
CASALDUNI;FORZA ITALIA;95;;
CASALDUNI;FRATELLI D'ITALIA;23;;
CASALDUNI;CASAPOUND ITALIA - DESTRE UNITE;7;;
CASALDUNI;EUROPA VERDE;7;;
CASALDUNI;PARTITO COMUNISTA;6;;
CASALDUNI;LA SINISTRA;4;;
CASALDUNI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;4;;
CASALDUNI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CASALDUNI;PARTITO ANIMALISTA;1;;
CASALDUNI;POPOLARI PER L'ITALIA;0;;
CASALDUNI;PARTITO PIRATA;0;;
CASALDUNI;FORZA NUOVA;0;;
CASTELFRANCO IN MISCANO;LEGA SALVINI PREMIER;120;;
CASTELFRANCO IN MISCANO;MOVIMENTO 5 STELLE;88;;
CASTELFRANCO IN MISCANO;FORZA ITALIA;60;;
CASTELFRANCO IN MISCANO;PARTITO DEMOCRATICO;50;;
CASTELFRANCO IN MISCANO;FRATELLI D'ITALIA;16;;
CASTELFRANCO IN MISCANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
CASTELFRANCO IN MISCANO;EUROPA VERDE;2;;
CASTELFRANCO IN MISCANO;CASAPOUND ITALIA - DESTRE UNITE;2;;
CASTELFRANCO IN MISCANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CASTELFRANCO IN MISCANO;LA SINISTRA;2;;
CASTELFRANCO IN MISCANO;PARTITO COMUNISTA;1;;
CASTELFRANCO IN MISCANO;POPOLARI PER L'ITALIA;1;;
CASTELFRANCO IN MISCANO;FORZA NUOVA;0;;
CASTELFRANCO IN MISCANO;PARTITO PIRATA;0;;
CASTELFRANCO IN MISCANO;PARTITO ANIMALISTA;0;;
CASTELPAGANO;FORZA ITALIA;130;;
CASTELPAGANO;MOVIMENTO 5 STELLE;127;;
CASTELPAGANO;LEGA SALVINI PREMIER;126;;
CASTELPAGANO;PARTITO DEMOCRATICO;53;;
CASTELPAGANO;FRATELLI D'ITALIA;45;;
CASTELPAGANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
CASTELPAGANO;LA SINISTRA;3;;
CASTELPAGANO;PARTITO ANIMALISTA;1;;
CASTELPAGANO;PARTITO COMUNISTA;1;;
CASTELPAGANO;PARTITO PIRATA;1;;
CASTELPAGANO;FORZA NUOVA;1;;
CASTELPAGANO;EUROPA VERDE;1;;
CASTELPAGANO;POPOLARI PER L'ITALIA;0;;
CASTELPAGANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CASTELPAGANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CASTELPOTO;MOVIMENTO 5 STELLE;170;;
CASTELPOTO;PARTITO DEMOCRATICO;166;;
CASTELPOTO;LEGA SALVINI PREMIER;101;;
CASTELPOTO;FORZA ITALIA;75;;
CASTELPOTO;FRATELLI D'ITALIA;16;;
CASTELPOTO;LA SINISTRA;11;;
CASTELPOTO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6;;
CASTELPOTO;PARTITO COMUNISTA;5;;
CASTELPOTO;EUROPA VERDE;4;;
CASTELPOTO;POPOLARI PER L'ITALIA;2;;
CASTELPOTO;PARTITO ANIMALISTA;1;;
