

Ente;Liste/Gruppi;Voti;
FLUMERI;PARTITO ANIMALISTA;5;;
FLUMERI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
FLUMERI;POPOLARI PER L'ITALIA;2;;
FLUMERI;PARTITO PIRATA;2;;
FLUMERI;FORZA NUOVA;1;;
FLUMERI;CASAPOUND ITALIA - DESTRE UNITE;0;;
FONTANAROSA;MOVIMENTO 5 STELLE;281;;
FONTANAROSA;PARTITO DEMOCRATICO;226;;
FONTANAROSA;LEGA SALVINI PREMIER;213;;
FONTANAROSA;FORZA ITALIA;129;;
FONTANAROSA;FRATELLI D'ITALIA;41;;
FONTANAROSA;LA SINISTRA;31;;
FONTANAROSA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;19;;
FONTANAROSA;PARTITO COMUNISTA;14;;
FONTANAROSA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;9;;
FONTANAROSA;PARTITO ANIMALISTA;9;;
FONTANAROSA;EUROPA VERDE;5;;
FONTANAROSA;POPOLARI PER L'ITALIA;4;;
FONTANAROSA;FORZA NUOVA;3;;
FONTANAROSA;CASAPOUND ITALIA - DESTRE UNITE;1;;
FONTANAROSA;PARTITO PIRATA;0;;
FORINO;MOVIMENTO 5 STELLE;504;;
FORINO;LEGA SALVINI PREMIER;451;;
FORINO;PARTITO DEMOCRATICO;387;;
FORINO;FORZA ITALIA;263;;
FORINO;FRATELLI D'ITALIA;79;;
FORINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;35;;
FORINO;LA SINISTRA;26;;
FORINO;EUROPA VERDE;23;;
FORINO;PARTITO COMUNISTA;17;;
FORINO;PARTITO ANIMALISTA;15;;
FORINO;POPOLARI PER L'ITALIA;4;;
FORINO;CASAPOUND ITALIA - DESTRE UNITE;4;;
FORINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
FORINO;PARTITO PIRATA;2;;
FORINO;FORZA NUOVA;2;;
FRIGENTO;MOVIMENTO 5 STELLE;583;;
FRIGENTO;PARTITO DEMOCRATICO;448;;
FRIGENTO;LEGA SALVINI PREMIER;309;;
FRIGENTO;FORZA ITALIA;71;;
FRIGENTO;FRATELLI D'ITALIA;48;;
FRIGENTO;LA SINISTRA;42;;
FRIGENTO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;16;;
FRIGENTO;EUROPA VERDE;14;;
FRIGENTO;PARTITO COMUNISTA;13;;
FRIGENTO;PARTITO ANIMALISTA;10;;
FRIGENTO;CASAPOUND ITALIA - DESTRE UNITE;7;;
FRIGENTO;POPOLARI PER L'ITALIA;6;;
FRIGENTO;PARTITO PIRATA;5;;
FRIGENTO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
FRIGENTO;FORZA NUOVA;0;;
GESUALDO;MOVIMENTO 5 STELLE;388;;
GESUALDO;PARTITO DEMOCRATICO;358;;
GESUALDO;LEGA SALVINI PREMIER;348;;
GESUALDO;FRATELLI D'ITALIA;105;;
GESUALDO;FORZA ITALIA;92;;
GESUALDO;LA SINISTRA;37;;
GESUALDO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;25;;
GESUALDO;EUROPA VERDE;24;;
GESUALDO;PARTITO COMUNISTA;8;;
GESUALDO;PARTITO ANIMALISTA;8;;
GESUALDO;CASAPOUND ITALIA - DESTRE UNITE;3;;
GESUALDO;POPOLARI PER L'ITALIA;3;;
GESUALDO;PARTITO PIRATA;2;;
GESUALDO;FORZA NUOVA;2;;
GESUALDO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
GRECI;PARTITO DEMOCRATICO;79;;
GRECI;MOVIMENTO 5 STELLE;73;;
GRECI;LEGA SALVINI PREMIER;63;;
GRECI;FORZA ITALIA;24;;
GRECI;LA SINISTRA;3;;
GRECI;FRATELLI D'ITALIA;2;;
GRECI;PARTITO ANIMALISTA;2;;
GRECI;PARTITO COMUNISTA;1;;
GRECI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1;;
GRECI;EUROPA VERDE;0;;
GRECI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
GRECI;PARTITO PIRATA;0;;
GRECI;POPOLARI PER L'ITALIA;0;;
GRECI;FORZA NUOVA;0;;
GRECI;CASAPOUND ITALIA - DESTRE UNITE;0;;
GROTTAMINARDA;MOVIMENTO 5 STELLE;1452;;
GROTTAMINARDA;LEGA SALVINI PREMIER;1315;;
GROTTAMINARDA;PARTITO DEMOCRATICO;752;;
GROTTAMINARDA;FORZA ITALIA;679;;
GROTTAMINARDA;FRATELLI D'ITALIA;246;;
GROTTAMINARDA;LA SINISTRA;123;;
GROTTAMINARDA;EUROPA VERDE;98;;
GROTTAMINARDA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;81;;
GROTTAMINARDA;PARTITO COMUNISTA;76;;
GROTTAMINARDA;PARTITO ANIMALISTA;68;;
GROTTAMINARDA;POPOLARI PER L'ITALIA;50;;
GROTTAMINARDA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;24;;
GROTTAMINARDA;CASAPOUND ITALIA - DESTRE UNITE;15;;
GROTTAMINARDA;PARTITO PIRATA;12;;
GROTTAMINARDA;FORZA NUOVA;7;;
GROTTOLELLA;MOVIMENTO 5 STELLE;340;;
GROTTOLELLA;PARTITO DEMOCRATICO;265;;
GROTTOLELLA;LEGA SALVINI PREMIER;259;;
GROTTOLELLA;FORZA ITALIA;151;;
GROTTOLELLA;FRATELLI D'ITALIA;55;;
GROTTOLELLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;32;;
GROTTOLELLA;EUROPA VERDE;24;;
GROTTOLELLA;LA SINISTRA;17;;
GROTTOLELLA;PARTITO COMUNISTA;16;;
GROTTOLELLA;PARTITO ANIMALISTA;13;;
GROTTOLELLA;POPOLARI PER L'ITALIA;7;;
GROTTOLELLA;FORZA NUOVA;7;;
GROTTOLELLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
GROTTOLELLA;PARTITO PIRATA;2;;
GROTTOLELLA;CASAPOUND ITALIA - DESTRE UNITE;1;;
GUARDIA LOMBARDI;MOVIMENTO 5 STELLE;139;;
GUARDIA LOMBARDI;PARTITO DEMOCRATICO;109;;
GUARDIA LOMBARDI;LEGA SALVINI PREMIER;91;;
GUARDIA LOMBARDI;FORZA ITALIA;59;;
GUARDIA LOMBARDI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;14;;
GUARDIA LOMBARDI;FRATELLI D'ITALIA;13;;
GUARDIA LOMBARDI;EUROPA VERDE;8;;
GUARDIA LOMBARDI;LA SINISTRA;5;;
GUARDIA LOMBARDI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
GUARDIA LOMBARDI;PARTITO COMUNISTA;2;;
GUARDIA LOMBARDI;PARTITO ANIMALISTA;1;;
GUARDIA LOMBARDI;POPOLARI PER L'ITALIA;1;;
GUARDIA LOMBARDI;PARTITO PIRATA;1;;
GUARDIA LOMBARDI;CASAPOUND ITALIA - DESTRE UNITE;0;;
GUARDIA LOMBARDI;FORZA NUOVA;0;;
LACEDONIA;PARTITO DEMOCRATICO;233;;
LACEDONIA;MOVIMENTO 5 STELLE;211;;
LACEDONIA;LEGA SALVINI PREMIER;169;;
LACEDONIA;FRATELLI D'ITALIA;159;;
LACEDONIA;FORZA ITALIA;66;;
LACEDONIA;LA SINISTRA;31;;
LACEDONIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;15;;
LACEDONIA;EUROPA VERDE;9;;
LACEDONIA;PARTITO ANIMALISTA;7;;
LACEDONIA;PARTITO COMUNISTA;6;;
LACEDONIA;CASAPOUND ITALIA - DESTRE UNITE;4;;
LACEDONIA;POPOLARI PER L'ITALIA;4;;
LACEDONIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
LACEDONIA;FORZA NUOVA;2;;
LACEDONIA;PARTITO PIRATA;1;;
LAPIO;MOVIMENTO 5 STELLE;230;;
LAPIO;LEGA SALVINI PREMIER;138;;
LAPIO;PARTITO DEMOCRATICO;106;;
LAPIO;FORZA ITALIA;89;;
LAPIO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;33;;
LAPIO;FRATELLI D'ITALIA;26;;
LAPIO;LA SINISTRA;14;;
LAPIO;EUROPA VERDE;11;;
LAPIO;PARTITO COMUNISTA;8;;
LAPIO;PARTITO ANIMALISTA;4;;
LAPIO;POPOLARI PER L'ITALIA;1;;
LAPIO;PARTITO PIRATA;1;;
LAPIO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
LAPIO;CASAPOUND ITALIA - DESTRE UNITE;0;;
LAPIO;FORZA NUOVA;0;;
LAURO;FORZA ITALIA;399;;
LAURO;LEGA SALVINI PREMIER;364;;
LAURO;MOVIMENTO 5 STELLE;350;;
LAURO;PARTITO DEMOCRATICO;236;;
LAURO;FRATELLI D'ITALIA;84;;
LAURO;LA SINISTRA;44;;
LAURO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;36;;
LAURO;EUROPA VERDE;12;;
LAURO;POPOLARI PER L'ITALIA;6;;
LAURO;PARTITO COMUNISTA;6;;
LAURO;PARTITO ANIMALISTA;4;;
LAURO;CASAPOUND ITALIA - DESTRE UNITE;4;;
LAURO;FORZA NUOVA;2;;
LAURO;PARTITO PIRATA;0;;
LAURO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
LIONI;MOVIMENTO 5 STELLE;706;;
LIONI;PARTITO DEMOCRATICO;549;;
LIONI;LEGA SALVINI PREMIER;528;;
LIONI;FORZA ITALIA;201;;
LIONI;FRATELLI D'ITALIA;96;;
LIONI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;60;;
LIONI;LA SINISTRA;46;;
LIONI;EUROPA VERDE;35;;
LIONI;PARTITO COMUNISTA;30;;
LIONI;PARTITO ANIMALISTA;13;;
LIONI;POPOLARI PER L'ITALIA;11;;
LIONI;FORZA NUOVA;8;;
LIONI;PARTITO PIRATA;7;;
LIONI;CASAPOUND ITALIA - DESTRE UNITE;5;;
LIONI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
LUOGOSANO;MOVIMENTO 5 STELLE;124;;
LUOGOSANO;PARTITO DEMOCRATICO;112;;
LUOGOSANO;FORZA ITALIA;89;;
LUOGOSANO;LEGA SALVINI PREMIER;85;;
LUOGOSANO;FRATELLI D'ITALIA;31;;
LUOGOSANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;26;;
LUOGOSANO;LA SINISTRA;12;;
LUOGOSANO;PARTITO COMUNISTA;5;;
LUOGOSANO;EUROPA VERDE;5;;
LUOGOSANO;FORZA NUOVA;2;;
LUOGOSANO;PARTITO ANIMALISTA;2;;
LUOGOSANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
LUOGOSANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
LUOGOSANO;PARTITO PIRATA;0;;
LUOGOSANO;POPOLARI PER L'ITALIA;0;;
MANOCALZATI;MOVIMENTO 5 STELLE;448;;
MANOCALZATI;LEGA SALVINI PREMIER;262;;
MANOCALZATI;PARTITO DEMOCRATICO;255;;
MANOCALZATI;FORZA ITALIA;113;;
MANOCALZATI;FRATELLI D'ITALIA;71;;
MANOCALZATI;LA SINISTRA;51;;
MANOCALZATI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;27;;
MANOCALZATI;EUROPA VERDE;11;;
MANOCALZATI;POPOLARI PER L'ITALIA;10;;
MANOCALZATI;CASAPOUND ITALIA - DESTRE UNITE;9;;
MANOCALZATI;PARTITO COMUNISTA;9;;
MANOCALZATI;FORZA NUOVA;4;;
MANOCALZATI;PARTITO ANIMALISTA;4;;
MANOCALZATI;PARTITO PIRATA;3;;
MANOCALZATI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
MARZANO DI NOLA;FRATELLI D'ITALIA;184;;
MARZANO DI NOLA;MOVIMENTO 5 STELLE;147;;
MARZANO DI NOLA;PARTITO DEMOCRATICO;133;;
MARZANO DI NOLA;FORZA ITALIA;87;;
MARZANO DI NOLA;LEGA SALVINI PREMIER;63;;
MARZANO DI NOLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;49;;
MARZANO DI NOLA;EUROPA VERDE;9;;
MARZANO DI NOLA;LA SINISTRA;6;;
MARZANO DI NOLA;PARTITO COMUNISTA;5;;
MARZANO DI NOLA;CASAPOUND ITALIA - DESTRE UNITE;1;;
MARZANO DI NOLA;PARTITO PIRATA;0;;
MARZANO DI NOLA;FORZA NUOVA;0;;
MARZANO DI NOLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
MARZANO DI NOLA;PARTITO ANIMALISTA;0;;
MARZANO DI NOLA;POPOLARI PER L'ITALIA;0;;
MELITO IRPINO;LEGA SALVINI PREMIER;304;;
MELITO IRPINO;MOVIMENTO 5 STELLE;283;;
MELITO IRPINO;PARTITO DEMOCRATICO;193;;
MELITO IRPINO;FORZA ITALIA;123;;
MELITO IRPINO;FRATELLI D'ITALIA;66;;
MELITO IRPINO;EUROPA VERDE;16;;
MELITO IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;12;;
MELITO IRPINO;PARTITO ANIMALISTA;10;;
MELITO IRPINO;LA SINISTRA;9;;
MELITO IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;8;;
MELITO IRPINO;CASAPOUND ITALIA - DESTRE UNITE;4;;
MELITO IRPINO;POPOLARI PER L'ITALIA;3;;
MELITO IRPINO;PARTITO COMUNISTA;3;;
MELITO IRPINO;PARTITO PIRATA;1;;
MELITO IRPINO;FORZA NUOVA;0;;
MERCOGLIANO;MOVIMENTO 5 STELLE;2063;;
MERCOGLIANO;PARTITO DEMOCRATICO;1401;;
MERCOGLIANO;LEGA SALVINI PREMIER;1328;;
MERCOGLIANO;FORZA ITALIA;841;;
MERCOGLIANO;FRATELLI D'ITALIA;329;;
MERCOGLIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;227;;
MERCOGLIANO;LA SINISTRA;208;;
MERCOGLIANO;EUROPA VERDE;134;;
MERCOGLIANO;PARTITO ANIMALISTA;68;;
MERCOGLIANO;PARTITO COMUNISTA;66;;
MERCOGLIANO;POPOLARI PER L'ITALIA;41;;
MERCOGLIANO;PARTITO PIRATA;19;;
MERCOGLIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;16;;
MERCOGLIANO;CASAPOUND ITALIA - DESTRE UNITE;10;;
MERCOGLIANO;FORZA NUOVA;8;;
MIRABELLA ECLANO;MOVIMENTO 5 STELLE;1389;;
MIRABELLA ECLANO;LEGA SALVINI PREMIER;1032;;
MIRABELLA ECLANO;PARTITO DEMOCRATICO;725;;
MIRABELLA ECLANO;FORZA ITALIA;515;;
MIRABELLA ECLANO;FRATELLI D'ITALIA;339;;
MIRABELLA ECLANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;75;;
MIRABELLA ECLANO;EUROPA VERDE;68;;
MIRABELLA ECLANO;LA SINISTRA;52;;
MIRABELLA ECLANO;PARTITO COMUNISTA;42;;
MIRABELLA ECLANO;PARTITO ANIMALISTA;27;;
MIRABELLA ECLANO;PARTITO PIRATA;19;;
MIRABELLA ECLANO;CASAPOUND ITALIA - DESTRE UNITE;11;;
MIRABELLA ECLANO;FORZA NUOVA;9;;
MIRABELLA ECLANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
MIRABELLA ECLANO;POPOLARI PER L'ITALIA;5;;
MONTAGUTO;LEGA SALVINI PREMIER;49;;
MONTAGUTO;MOVIMENTO 5 STELLE;33;;
MONTAGUTO;PARTITO DEMOCRATICO;24;;
MONTAGUTO;FORZA ITALIA;13;;
MONTAGUTO;FRATELLI D'ITALIA;4;;
MONTAGUTO;POPOLARI PER L'ITALIA;2;;
MONTAGUTO;FORZA NUOVA;1;;
MONTAGUTO;PARTITO COMUNISTA;1;;
MONTAGUTO;PARTITO ANIMALISTA;1;;
MONTAGUTO;EUROPA VERDE;1;;
MONTAGUTO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
MONTAGUTO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;0;;
MONTAGUTO;PARTITO PIRATA;0;;
MONTAGUTO;LA SINISTRA;0;;
MONTAGUTO;CASAPOUND ITALIA - DESTRE UNITE;0;;
MONTECALVO IRPINO;MOVIMENTO 5 STELLE;694;;
MONTECALVO IRPINO;LEGA SALVINI PREMIER;651;;
MONTECALVO IRPINO;PARTITO DEMOCRATICO;379;;
MONTECALVO IRPINO;FORZA ITALIA;317;;
MONTECALVO IRPINO;FRATELLI D'ITALIA;146;;
MONTECALVO IRPINO;PARTITO COMUNISTA;53;;
MONTECALVO IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;31;;
MONTECALVO IRPINO;EUROPA VERDE;19;;
MONTECALVO IRPINO;PARTITO ANIMALISTA;18;;
MONTECALVO IRPINO;LA SINISTRA;16;;
MONTECALVO IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;13;;
MONTECALVO IRPINO;CASAPOUND ITALIA - DESTRE UNITE;5;;
MONTECALVO IRPINO;FORZA NUOVA;4;;
MONTECALVO IRPINO;POPOLARI PER L'ITALIA;4;;
MONTECALVO IRPINO;PARTITO PIRATA;4;;
MONTEFALCIONE;MOVIMENTO 5 STELLE;519;;
MONTEFALCIONE;PARTITO DEMOCRATICO;282;;
MONTEFALCIONE;LEGA SALVINI PREMIER;257;;
MONTEFALCIONE;FORZA ITALIA;77;;
MONTEFALCIONE;LA SINISTRA;53;;
MONTEFALCIONE;FRATELLI D'ITALIA;48;;
MONTEFALCIONE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;21;;
MONTEFALCIONE;EUROPA VERDE;17;;
MONTEFALCIONE;PARTITO COMUNISTA;10;;
MONTEFALCIONE;PARTITO ANIMALISTA;5;;
MONTEFALCIONE;POPOLARI PER L'ITALIA;3;;
MONTEFALCIONE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
MONTEFALCIONE;CASAPOUND ITALIA - DESTRE UNITE;2;;
MONTEFALCIONE;FORZA NUOVA;2;;
MONTEFALCIONE;PARTITO PIRATA;1;;
MONTEFORTE IRPINO;MOVIMENTO 5 STELLE;1314;;
MONTEFORTE IRPINO;PARTITO DEMOCRATICO;834;;
MONTEFORTE IRPINO;LEGA SALVINI PREMIER;819;;
MONTEFORTE IRPINO;FORZA ITALIA;511;;
MONTEFORTE IRPINO;FRATELLI D'ITALIA;213;;
MONTEFORTE IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;113;;
MONTEFORTE IRPINO;LA SINISTRA;112;;
MONTEFORTE IRPINO;EUROPA VERDE;61;;
MONTEFORTE IRPINO;PARTITO COMUNISTA;31;;
MONTEFORTE IRPINO;PARTITO ANIMALISTA;25;;
MONTEFORTE IRPINO;POPOLARI PER L'ITALIA;7;;
MONTEFORTE IRPINO;CASAPOUND ITALIA - DESTRE UNITE;6;;
MONTEFORTE IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
MONTEFORTE IRPINO;PARTITO PIRATA;3;;
MONTEFORTE IRPINO;FORZA NUOVA;3;;
MONTEFREDANE;MOVIMENTO 5 STELLE;341;;
MONTEFREDANE;LEGA SALVINI PREMIER;202;;
MONTEFREDANE;PARTITO DEMOCRATICO;165;;
MONTEFREDANE;FORZA ITALIA;109;;
MONTEFREDANE;FRATELLI D'ITALIA;26;;
MONTEFREDANE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;23;;
MONTEFREDANE;LA SINISTRA;16;;
MONTEFREDANE;EUROPA VERDE;13;;
MONTEFREDANE;PARTITO ANIMALISTA;10;;
MONTEFREDANE;PARTITO COMUNISTA;4;;
MONTEFREDANE;POPOLARI PER L'ITALIA;1;;
MONTEFREDANE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
MONTEFREDANE;CASAPOUND ITALIA - DESTRE UNITE;1;;
MONTEFREDANE;PARTITO PIRATA;1;;
MONTEFREDANE;FORZA NUOVA;0;;
MONTEFUSCO;MOVIMENTO 5 STELLE;249;;
MONTEFUSCO;LEGA SALVINI PREMIER;228;;
MONTEFUSCO;PARTITO DEMOCRATICO;114;;
MONTEFUSCO;FORZA ITALIA;98;;
MONTEFUSCO;LA SINISTRA;58;;
MONTEFUSCO;FRATELLI D'ITALIA;44;;
MONTEFUSCO;EUROPA VERDE;17;;
MONTEFUSCO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;12;;
MONTEFUSCO;PARTITO COMUNISTA;7;;
MONTEFUSCO;PARTITO ANIMALISTA;7;;
MONTEFUSCO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;5;;
MONTEFUSCO;FORZA NUOVA;4;;
MONTEFUSCO;PARTITO PIRATA;2;;
MONTEFUSCO;CASAPOUND ITALIA - DESTRE UNITE;1;;
MONTEFUSCO;POPOLARI PER L'ITALIA;1;;
MONTELLA;MOVIMENTO 5 STELLE;1274;;
MONTELLA;LEGA SALVINI PREMIER;1091;;
MONTELLA;PARTITO DEMOCRATICO;921;;
MONTELLA;FORZA ITALIA;433;;
MONTELLA;FRATELLI D'ITALIA;178;;
MONTELLA;LA SINISTRA;176;;
MONTELLA;PARTITO COMUNISTA;67;;
MONTELLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;65;;
MONTELLA;EUROPA VERDE;57;;
MONTELLA;PARTITO ANIMALISTA;53;;
MONTELLA;POPOLARI PER L'ITALIA;27;;
MONTELLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;14;;
MONTELLA;PARTITO PIRATA;14;;
MONTELLA;FORZA NUOVA;12;;
MONTELLA;CASAPOUND ITALIA - DESTRE UNITE;7;;
MONTEMARANO;MOVIMENTO 5 STELLE;308;;
MONTEMARANO;LEGA SALVINI PREMIER;250;;
MONTEMARANO;PARTITO DEMOCRATICO;216;;
MONTEMARANO;FORZA ITALIA;171;;
MONTEMARANO;FRATELLI D'ITALIA;22;;
MONTEMARANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;16;;
MONTEMARANO;EUROPA VERDE;14;;
MONTEMARANO;LA SINISTRA;11;;
MONTEMARANO;PARTITO COMUNISTA;9;;
MONTEMARANO;PARTITO ANIMALISTA;7;;
MONTEMARANO;POPOLARI PER L'ITALIA;4;;
MONTEMARANO;FORZA NUOVA;4;;
MONTEMARANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
MONTEMARANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
MONTEMARANO;PARTITO PIRATA;0;;
MONTEMILETTO;MOVIMENTO 5 STELLE;1115;;
MONTEMILETTO;LEGA SALVINI PREMIER;775;;
MONTEMILETTO;PARTITO DEMOCRATICO;492;;
MONTEMILETTO;FORZA ITALIA;350;;
MONTEMILETTO;FRATELLI D'ITALIA;186;;
MONTEMILETTO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;64;;
MONTEMILETTO;LA SINISTRA;61;;
MONTEMILETTO;EUROPA VERDE;52;;
MONTEMILETTO;PARTITO COMUNISTA;35;;
MONTEMILETTO;PARTITO ANIMALISTA;29;;
MONTEMILETTO;POPOLARI PER L'ITALIA;12;;
MONTEMILETTO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
MONTEMILETTO;CASAPOUND ITALIA - DESTRE UNITE;6;;
MONTEMILETTO;FORZA NUOVA;5;;
MONTEMILETTO;PARTITO PIRATA;3;;
MONTEVERDE;MOVIMENTO 5 STELLE;76;;
MONTEVERDE;PARTITO DEMOCRATICO;62;;
MONTEVERDE;LEGA SALVINI PREMIER;50;;
MONTEVERDE;FORZA ITALIA;40;;
MONTEVERDE;LA SINISTRA;26;;
MONTEVERDE;FRATELLI D'ITALIA;15;;
MONTEVERDE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;4;;
MONTEVERDE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
MONTEVERDE;FORZA NUOVA;2;;
MONTEVERDE;EUROPA VERDE;2;;
MONTEVERDE;PARTITO ANIMALISTA;1;;
MONTEVERDE;PARTITO COMUNISTA;1;;
MONTEVERDE;CASAPOUND ITALIA - DESTRE UNITE;0;;
MONTEVERDE;PARTITO PIRATA;0;;
MONTEVERDE;POPOLARI PER L'ITALIA;0;;
MONTORO;MOVIMENTO 5 STELLE;4371;;
MONTORO;LEGA SALVINI PREMIER;2833;;
MONTORO;FORZA ITALIA;1690;;
MONTORO;PARTITO DEMOCRATICO;1523;;
MONTORO;FRATELLI D'ITALIA;643;;
MONTORO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;255;;
MONTORO;LA SINISTRA;185;;
MONTORO;EUROPA VERDE;173;;
MONTORO;PARTITO COMUNISTA;89;;
MONTORO;PARTITO ANIMALISTA;75;;
MONTORO;POPOLARI PER L'ITALIA;72;;
MONTORO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;50;;
MONTORO;FORZA NUOVA;46;;
MONTORO;CASAPOUND ITALIA - DESTRE UNITE;31;;
MONTORO;PARTITO PIRATA;13;;
MORRA DE SANCTIS;MOVIMENTO 5 STELLE;230;;
MORRA DE SANCTIS;PARTITO DEMOCRATICO;175;;
MORRA DE SANCTIS;LEGA SALVINI PREMIER;153;;
MORRA DE SANCTIS;FORZA ITALIA;148;;
MORRA DE SANCTIS;FRATELLI D'ITALIA;18;;
MORRA DE SANCTIS;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
MORRA DE SANCTIS;PARTITO ANIMALISTA;12;;
MORRA DE SANCTIS;LA SINISTRA;11;;
MORRA DE SANCTIS;PARTITO PIRATA;7;;
MORRA DE SANCTIS;POPOLARI PER L'ITALIA;6;;
MORRA DE SANCTIS;PARTITO COMUNISTA;6;;
MORRA DE SANCTIS;EUROPA VERDE;5;;
MORRA DE SANCTIS;FORZA NUOVA;2;;
MORRA DE SANCTIS;CASAPOUND ITALIA - DESTRE UNITE;1;;
MORRA DE SANCTIS;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
MOSCHIANO;MOVIMENTO 5 STELLE;342;;
MOSCHIANO;LEGA SALVINI PREMIER;252;;
MOSCHIANO;FORZA ITALIA;193;;
MOSCHIANO;PARTITO DEMOCRATICO;139;;
MOSCHIANO;FRATELLI D'ITALIA;57;;
MOSCHIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;21;;
MOSCHIANO;EUROPA VERDE;11;;
MOSCHIANO;LA SINISTRA;8;;
MOSCHIANO;PARTITO COMUNISTA;8;;
MOSCHIANO;POPOLARI PER L'ITALIA;5;;
MOSCHIANO;PARTITO ANIMALISTA;4;;
MOSCHIANO;FORZA NUOVA;2;;
MOSCHIANO;CASAPOUND ITALIA - DESTRE UNITE;2;;
MOSCHIANO;PARTITO PIRATA;1;;
MOSCHIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
MUGNANO DEL CARDINALE;MOVIMENTO 5 STELLE;648;;
MUGNANO DEL CARDINALE;FORZA ITALIA;342;;
MUGNANO DEL CARDINALE;PARTITO DEMOCRATICO;329;;
MUGNANO DEL CARDINALE;LEGA SALVINI PREMIER;268;;
MUGNANO DEL CARDINALE;FRATELLI D'ITALIA;102;;
MUGNANO DEL CARDINALE;LA SINISTRA;44;;
