

Ente;Liste/Gruppi;Voti;
AVELLINO;PARTITO DEMOCRATICO;7823;;
AVELLINO;LEGA SALVINI PREMIER;6342;;
AVELLINO;FORZA ITALIA;3351;;
AVELLINO;FRATELLI D'ITALIA;1394;;
AVELLINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1147;;
AVELLINO;LA SINISTRA;1082;;
AVELLINO;EUROPA VERDE;637;;
AVELLINO;PARTITO ANIMALISTA;357;;
AVELLINO;PARTITO COMUNISTA;326;;
AVELLINO;POPOLARI PER L'ITALIA;140;;
AVELLINO;CASAPOUND ITALIA - DESTRE UNITE;96;;
AVELLINO;PARTITO PIRATA;81;;
AVELLINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;61;;
AVELLINO;FORZA NUOVA;54;;
BAGNOLI IRPINO;MOVIMENTO 5 STELLE;332;;
BAGNOLI IRPINO;LEGA SALVINI PREMIER;332;;
BAGNOLI IRPINO;PARTITO DEMOCRATICO;214;;
BAGNOLI IRPINO;FORZA ITALIA;114;;
BAGNOLI IRPINO;LA SINISTRA;89;;
BAGNOLI IRPINO;FRATELLI D'ITALIA;57;;
BAGNOLI IRPINO;EUROPA VERDE;30;;
BAGNOLI IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;20;;
BAGNOLI IRPINO;PARTITO COMUNISTA;19;;
BAGNOLI IRPINO;PARTITO ANIMALISTA;16;;
BAGNOLI IRPINO;POPOLARI PER L'ITALIA;6;;
BAGNOLI IRPINO;CASAPOUND ITALIA - DESTRE UNITE;5;;
BAGNOLI IRPINO;PARTITO PIRATA;3;;
BAGNOLI IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
BAGNOLI IRPINO;FORZA NUOVA;0;;
BAIANO;MOVIMENTO 5 STELLE;521;;
BAIANO;PARTITO DEMOCRATICO;386;;
BAIANO;LEGA SALVINI PREMIER;322;;
BAIANO;FORZA ITALIA;249;;
BAIANO;FRATELLI D'ITALIA;181;;
BAIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;54;;
BAIANO;LA SINISTRA;26;;
BAIANO;POPOLARI PER L'ITALIA;17;;
BAIANO;EUROPA VERDE;15;;
BAIANO;PARTITO COMUNISTA;6;;
BAIANO;CASAPOUND ITALIA - DESTRE UNITE;5;;
BAIANO;PARTITO ANIMALISTA;5;;
BAIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
BAIANO;PARTITO PIRATA;1;;
BAIANO;FORZA NUOVA;0;;
BISACCIA;MOVIMENTO 5 STELLE;651;;
BISACCIA;LEGA SALVINI PREMIER;509;;
BISACCIA;PARTITO DEMOCRATICO;429;;
BISACCIA;FORZA ITALIA;219;;
BISACCIA;FRATELLI D'ITALIA;112;;
BISACCIA;LA SINISTRA;99;;
BISACCIA;EUROPA VERDE;46;;
BISACCIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;43;;
BISACCIA;PARTITO COMUNISTA;29;;
BISACCIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;22;;
BISACCIA;PARTITO ANIMALISTA;17;;
BISACCIA;POPOLARI PER L'ITALIA;12;;
BISACCIA;CASAPOUND ITALIA - DESTRE UNITE;6;;
BISACCIA;FORZA NUOVA;2;;
BISACCIA;PARTITO PIRATA;1;;
BONITO;MOVIMENTO 5 STELLE;439;;
BONITO;LEGA SALVINI PREMIER;395;;
BONITO;PARTITO DEMOCRATICO;191;;
BONITO;FORZA ITALIA;187;;
BONITO;FRATELLI D'ITALIA;115;;
BONITO;LA SINISTRA;101;;
BONITO;EUROPA VERDE;26;;
BONITO;CASAPOUND ITALIA - DESTRE UNITE;16;;
BONITO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
